"slopeLength","daysAfter","numSlopes","orientation","all.all.other.days","all.during.heatwave","all.after.heatwave","R.all.other.days","R.during.heatwave","R.after.heatwave","L.all.other.days","L.during.heatwave","L.after.heatwave","T.all.other.days","T.during.heatwave","T.after.heatwave"
3,-15,1,"start",9.81712700314058,NA,-7.29330425397138,9.96653433043069,NA,-12.4035487940771,9.36796642835936,NA,9.20255097833347,10.4522567275062,NA,-21.4679665693232
3,-15,1,"end",9.57426624769647,NA,12.6880060891554,9.80388215372271,NA,1.85048762029681,9.37584859455065,NA,8.54989294569642,9.46361703337132,NA,42.464066984733
3,-15,2,"start",9.54269491542829,NA,12.5945492530623,9.3027801295733,NA,25.6244935381445,9.35359009791127,NA,9.98914595951638,10.5385295807857,NA,-8.25420741697105
3,-15,2,"end",9.62841495644595,NA,9.10811522409953,9.84329179846552,NA,4.4053263885258,9.47638521323217,NA,4.71017179989519,9.45097969244848,NA,26.3661306950958
3,-15,3,"start",9.50616988408556,NA,12.5706204544713,9.30301226986462,NA,20.1777410977266,9.53227750778958,NA,4.00431614804134,9.93700753345609,NA,10.5751654598323
3,-15,3,"end",9.70420798346391,NA,7.41903764924646,9.96284983488407,NA,3.38214880170075,9.43943986304278,NA,7.32845336295174,9.67288784142142,NA,16.0923323601119
3,-15,4,"start",9.60003213544969,NA,9.91342411932694,9.66014680541527,NA,10.4161557705636,9.61206116489817,NA,3.4730330184705,9.42775470815944,NA,18.2666070348948
3,-15,4,"end",9.64079115033661,NA,9.14326300715579,9.91513150518688,NA,5.86427844797484,9.22720368429499,NA,12.2388770791164,9.90518606458915,NA,10.9062069566035
3,-15,5,"start",9.33829888506176,NA,14.0170021800087,9.52536136266574,NA,12.3644354622442,9.25394398741426,NA,11.499555524912,9.07533775566494,NA,20.7748289264811
3,-15,5,"end",9.45879799827767,NA,11.8533122681165,9.66075826269983,NA,10.1928326449751,9.05944405345128,NA,14.3743795755214,9.86801675471867,NA,11.1569904046291
3,-15,6,"start",9.38040056398737,NA,12.6857582722739,9.46993468026645,NA,12.6014787387446,9.35264111250133,NA,9.58029732338917,9.22560205428102,NA,17.330618761774
3,-15,6,"end",9.41413815895961,NA,11.9806241199117,9.69955702241889,NA,9.66341328445389,8.93945621009077,NA,15.1003936843193,9.79453489639473,NA,11.6728977207544
3,-15,7,"start",9.4310639637926,NA,11.6519985710512,9.41124298953426,NA,12.7903529576555,9.2482967740587,NA,10.932917434347,9.89763938423163,NA,10.5404463715937
