"slopeLength","daysAfter","numSlopes","orientation","all.all.other.days","all.during.heatwave","all.after.heatwave","R.all.other.days","R.during.heatwave","R.after.heatwave","L.all.other.days","L.during.heatwave","L.after.heatwave","T.all.other.days","T.during.heatwave","T.after.heatwave"
5,-9,5,"start",10.9353640019422,12.8700178479633,12.8700178479633,12.4258937297805,19.8045208542102,19.8045208542102,6.6461067017935,19.1119063069948,19.1119063069948,17.0209375811575,-9.24454893799304,-9.24454893799304
5,-9,6,"start",10.709159761246,15.4466632234026,15.4466632234026,12.3386304619542,19.6689626035685,19.6689626035685,6.62156068157586,17.4103306568982,17.4103306568982,16.0436128545796,4.63480032359561,4.63480032359561
5,-9,7,"start",10.6750622884202,15.1395785513889,15.1395785513889,12.4575387132917,17.3607452960452,17.3607452960452,6.78824318743193,13.7040369030404,13.7040369030404,15.2191222286925,13.0176015257639,13.0176015257639
5,-9,8,"start",10.8408854270341,13.0290480316874,13.0290480316874,12.5626151132219,15.7859318414865,15.7859318414865,7.119547892133,9.11557038286285,9.11557038286285,15.1933314211082,13.4744018837025,13.4744018837025
5,-8,5,"start",10.827414023674,14.5518231504172,14.5518231504172,12.4990514148697,18.6890813262626,18.6890813262626,6.89785781107406,14.4332087683654,14.4332087683654,15.6597395776651,6.90833403678423,6.90833403678423
5,-8,6,"start",10.7952977838175,14.3426977118988,14.3426977118988,12.6185114378465,16.1594746803697,16.1594746803697,7.065732777271,10.6053863702868,10.6053863702868,14.8428023920461,16.3093464871158,16.3093464871158
5,-8,7,"start",10.9605202744296,12.0445029521671,12.0445029521671,12.7243407993605,14.5312979631134,14.5312979631134,7.39644560676632,5.80408899476295,5.80408899476295,14.8108977060479,16.3611547588525,16.3611547588525
5,-8,8,"start",11.2882033920875,8.84117695501752,8.84117695501752,12.993967519262,11.8371543008985,11.8371543008985,7.73510213710783,2.19650391771307,2.19650391771307,15.291949010902,12.7799696889043,12.7799696889043
5,-7,5,"start",10.7432802166825,15.8625847178029,15.8625847178029,12.7452741120936,14.9349093780011,14.9349093780011,7.17105016548647,9.35603393559324,9.35603393559324,13.9655083316489,27.0132114895093,27.0132114895093
5,-7,6,"start",10.9056776448564,12.9280429971319,12.9280429971319,12.8513817115407,13.2394640915968,13.2394640915968,7.49931099436535,3.9627457365977,3.9627457365977,13.9191112563754,25.2896769728032,25.2896769728032
5,-7,7,"start",11.2283207273312,9.14087899396596,9.14087899396596,13.119087703446,10.3449904592822,10.3449904592822,7.83537422110648,0.102840399707166,0.102840399707166,14.3762177166738,19.921390862298,19.921390862298
5,-7,8,"start",11.3877358793085,7.90933594484959,7.90933594484959,13.3707262710867,8.3881495507393,8.3881495507393,7.80516353748252,1.4089868308091,1.4089868308091,14.7786708493887,16.3943034095609,16.3943034095609
5,-6,5,"start",10.8540194163807,14.1373247758386,14.1373247758386,12.9248071669125,12.19755833041,12.19755833041,7.60679399369646,1.2579024820906,1.2579024820906,13.1740707008627,36.4049380415062,36.4049380415062
5,-6,6,"start",11.1717949593,9.51741980902717,9.51741980902717,13.1899308530155,8.99432338624076,8.99432338624076,7.94037057361221,-2.79451320186384,-2.79451320186384,13.6105689266043,28.2893940677996,28.2893940677996
5,-6,7,"start",11.3283649437501,8.05615049359972,8.05615049359972,13.4391339831703,6.95088621548337,6.95088621548337,7.91164693860897,-0.887866766094339,-0.887866766094339,13.992648188573,23.0630079495998,23.0630079495998
5,-6,8,"start",11.5342610627114,6.58512868971775,6.58512868971775,13.6608002358025,5.84759313986145,5.84759313986145,7.98494665890306,-0.529970398833963,-0.529970398833963,14.4973991918948,18.3749246644136,18.3749246644136
5,-5,5,"start",11.1776566063734,9.09522332354282,9.09522332354282,13.246181483653,7.29754521869528,7.29754521869528,8.01951440877727,-6.41234769356516,-6.41234769356516,13.3016782051404,34.8906623240775,34.8906623240775
5,-5,6,"start",11.3322667291503,7.46077520312485,7.46077520312485,13.4928199597876,5.19633154740258,5.19633154740258,7.9919642274244,-3.58495443655052,-3.58495443655052,13.671912267393,27.693000476798,27.693000476798
5,-5,7,"start",11.5355026946951,5.87249221028834,5.87249221028834,13.7123050277064,4.21353893796216,4.21353893796216,8.06540920231595,-2.76605937189046,-2.76605937189046,14.1622652429619,21.6737635041283,21.6737635041283
5,-5,8,"start",11.7481821398279,4.71510857792012,4.71510857792012,13.7419399416554,5.23996484863646,5.23996484863646,8.45197734014821,-5.33132218103199,-5.33132218103199,14.4421173657824,18.7642008566221,18.7642008566221
5,-4,5,"start",11.4329588740142,5.11774491793766,5.11774491793766,13.5289175054101,2.98665246343487,2.98665246343487,8.05263653386474,-7.02790964903691,-7.02790964903691,13.9930094369572,26.6868650398506,26.6868650398506
5,-4,6,"start",11.6349608166712,3.68331945783211,3.68331945783211,13.7460177708325,2.24690243317618,2.24690243317618,8.12599325717889,-5.46411573861241,-5.46411573861241,14.4804608844232,19.8321111445605,19.8321111445605
5,-4,7,"start",11.846312910519,2.70809112598245,2.70809112598245,13.7757613879471,3.7189814663903,3.7189814663903,8.50911823634051,-7.9260050177675,-7.9260050177675,14.7609817895455,16.7699898844917,16.7699898844917
5,-4,8,"start",11.9145737079681,3.33448915532853,3.33448915532853,13.5522852075548,7.01451531157081,7.01451531157081,8.83547606842126,-8.97344491697557,-8.97344491697557,14.969380234922,15.0513914864306,15.0513914864306
5,-3,5,"start",11.8494920331698,-1.17130809301595,-1.17130809301595,13.8149262799917,-1.02496620581378,-1.02496620581378,8.13435611462717,-8.29389431263299,-8.29389431263299,15.4841308689251,8.99222404716483,8.99222404716483
5,-3,6,"start",12.0612442078821,-1.42104176662108,-1.42104176662108,13.8453001874459,1.26966799443288,1.26966799443288,8.5134115564169,-10.5939311947721,-10.5939311947721,15.7770486154082,7.22639709331711,7.22639709331711
5,-3,7,"start",12.1318106741414,-0.0739746099356477,-0.0739746099356477,13.6259007047106,5.38569009029547,5.38569009029547,8.83621708322459,-11.344737419058,-11.344737419058,15.9995342999792,6.62565503712947,6.62565503712947
5,-3,8,"start",12.0951215778946,1.93777596620769,1.93777596620769,13.56494572754,7.04185949768308,7.04185949768308,8.71764981856647,-7.30688889471343,-7.30688889471343,16.2409459259174,6.23640174814025,6.23640174814025
5,-2,5,"start",12.0771508831777,-4.24865939790774,-4.24865939790774,13.7093283619651,0.841464075780848,0.841464075780848,8.32934778291623,-10.9820858682598,-10.9820858682598,16.5782400781616,-3.99120523577419,-3.99120523577419
5,-2,6,"start",12.1470300760039,-2.18519226192132,-2.18519226192132,13.4908293713919,5.68071070945874,5.68071070945874,8.64614195263259,-11.7746568706624,-11.7746568706624,16.8106464332157,-2.82247057981122,-2.82247057981122
5,-2,7,"start",12.111065798546,0.425787954020419,0.425787954020419,13.4285454300916,7.51074314452075,7.51074314452075,8.52629497155048,-7.14897921718762,-7.14897921718762,17.0635889653654,-1.79019298491757,-1.79019298491757
5,-2,8,"start",11.6186546910644,6.21505204222085,6.21505204222085,13.0279955364013,11.6474597974366,11.6474597974366,8.02329346267395,-0.0355251036741452,-0.0355251036741452,16.407803835062,5.23290580300172,5.23290580300172
5,-1,5,"start",11.9679305283653,-2.26779100986473,-2.26779100986473,13.3758014186005,5.85229358690946,5.85229358690946,8.30355420596884,-9.74719160621338,-9.74719160621338,16.8083097695538,-6.72136557362804,-6.72136557362804
5,-1,6,"start",11.929671530407,0.759046571538125,0.759046571538125,13.3125397355256,7.93168542599886,7.93168542599886,8.18039634455546,-4.80680525655693,-4.80680525655693,17.0568632760813,-4.81127982796691,-4.81127982796691
5,-1,7,"start",11.440963081247,7.24981533651857,7.24981533651857,12.9155812292765,12.54096190693,12.54096190693,7.67825423823109,2.83549616566409,2.83549616566409,16.412429914805,3.64903061413341,3.64903061413341
5,-1,8,"start",10.9119263191175,12.2212659969971,12.2212659969971,12.4805315913121,16.1343621794014,16.1343621794014,7.1235701910156,8.81078646233518,8.81078646233518,15.750398801066,9.79966627188204,9.79966627188204
5,0,5,"start",11.599996485456,3.36046476812485,3.36046476812485,13.043942495283,10.636048457172,10.636048457172,7.84143069884554,-1.64350895327654,-1.64350895327654,16.5613535168106,-3.34837952894744,-3.34837952894744
5,0,6,"start",11.1125984593948,10.3626310227269,10.3626310227269,12.6480702951123,15.4582235306678,15.4582235306678,7.34022293858788,6.53436584956411,6.53436584956411,15.918535456985,6.21039146652267,6.21039146652267
5,0,7,"start",10.5854508500738,15.4992186675477,15.4992186675477,12.2146610943268,19.0720907595366,19.0720907595366,6.78708468195517,12.682523986556,12.682523986556,15.2584913519117,12.811665190875,12.811665190875
5,0,8,"start",10.0247636877029,19.4333424863135,19.4333424863135,11.8385962602737,21.1778242535556,21.1778242535556,6.40786529035175,15.4611847302171,15.4611847302171,13.8694169489544,22.3270952737421,22.3270952737421
5,1,5,"start",10.9594471839129,12.3080803941052,12.3080803941052,12.410311166786,19.0979691572182,19.0979691572182,7.37516290162483,5.86475818307101,5.86475818307101,15.5089027540729,8.98807874386516,8.98807874386516
5,1,6,"start",10.4368573479785,17.858236124988,17.858236124988,11.9789690339173,22.6147494660849,22.6147494660849,6.82859787378331,12.9771692822414,12.9771692822414,14.8523913499891,16.1443452883183,16.1443452883183
5,1,7,"start",9.8813197225162,21.935404612192,21.935404612192,11.6042540881044,24.4646019036613,24.4646019036613,6.45418851069244,16.0413597071446,16.0413597071446,13.4798026298587,26.4405525319522,26.4405525319522
5,1,8,"start",9.56257748613834,23.0136286190094,23.0136286190094,11.4366165252295,24.2146621987008,24.2146621987008,6.30251523369645,16.2838665395015,16.2838665395015,12.4447560576854,31.5053042229915,31.5053042229915
5,2,5,"start",10.2495073126919,21.7301806592407,21.7301806592407,11.7858372973732,27.2052376925875,27.2052376925875,6.76954390362744,14.933811608671,14.933811608671,14.3558820333471,21.8792209671074,21.8792209671074
5,2,6,"start",9.69893911601931,25.7820977783821,25.7820977783821,11.4137010920508,28.5748988740952,28.5748988740952,6.39878523515066,18.1187560828009,18.1187560828009,12.9974741295598,32.7843438728932,32.7843438728932
5,2,7,"start",9.38203521602883,26.4680145351171,26.4680145351171,11.2457135346177,27.7202548126932,27.7202548126932,6.24822415845141,18.1111201225286,18.1111201225286,11.9712184265579,37.5865198552553,37.5865198552553
5,2,8,"start",8.70447935703983,29.6127646378755,29.6127646378755,10.5766556261271,30.7094475674053,30.7094475674053,5.69839333854954,21.4539877584531,21.4539877584531,10.9998915364774,40.9250703222957,40.9250703222957
5,3,5,"start",9.5196624350842,31.2487004422152,31.2487004422152,11.4190806135537,31.7987999982581,31.7987999982581,6.04364198527644,25.7588239660803,25.7588239660803,12.749546004561,39.1003384430836,39.1003384430836
5,3,6,"start",9.2048036541881,31.1612709492726,31.1612709492726,11.25370111194,30.2874410340956,30.2874410340956,5.89060368317743,24.5435754414548,24.5435754414548,11.7362845709381,43.5645421905195,43.5645421905195
5,3,7,"start",8.53461998956732,34.0482967669402,34.0482967669402,10.5950134445001,33.2973802038443,33.2973802038443,5.34311372894202,27.3876407716029,27.3876407716029,10.7779274211906,46.5537507926479,46.5537507926479
5,3,8,"start",8.14424062973776,33.8299219475272,33.8299219475272,10.092712861221,34.1508758928284,34.1508758928284,5.30643024831851,24.8078651290297,24.8078651290297,9.87207027456347,48.2778790687997,48.2778790687997
5,4,5,"start",9.17742395644981,35.7593435487782,35.7593435487782,11.5070600298418,30.6595109913761,30.6595109913761,5.60808143189835,32.5914123548681,32.5914123548681,11.5880128566878,50.8623432988124,50.8623432988124
5,4,6,"start",8.51677417805269,38.3224410893572,38.3224410893572,10.8625163774355,34.0809116204775,34.0809116204775,5.06395338165277,34.484350786624,34.484350786624,10.6436764164008,53.1943089762716,53.1943089762716
5,4,7,"start",8.13200730145615,37.4503604463175,37.4503604463175,10.372442626958,34.9327211984078,34.9327211984078,5.02368473705173,30.4716505375328,30.4716505375328,9.75140920182171,54.2677332940816,54.2677332940816
5,4,8,"start",8.01430727607204,34.6295752834221,34.6295752834221,10.0844732946548,33.9158617297483,33.9158617297483,5.00643540992855,27.2955010167145,27.2955010167145,9.83595103374059,48.5133577557229,48.5133577557229
5,5,5,"start",8.60756204324315,43.1186591281689,43.1186591281689,10.9644742527894,37.4185102858019,37.4185102858019,5.22973349813551,37.8962342805694,37.8962342805694,10.5142505600066,63.2780238637744,63.2780238637744
5,5,6,"start",8.23022374493114,41.2844844365641,41.2844844365641,10.4838787486548,37.8318621743668,37.8318621743668,5.19240920752581,32.6236863677408,32.6236863677408,9.63687363225715,62.9718069607321,62.9718069607321
5,5,7,"start",8.11597058346834,37.5040709608675,37.5040709608675,10.2024465795491,36.2430368615641,36.2430368615641,5.17787282710844,28.6808438517766,28.6808438517766,9.71775093596262,55.189365476352,55.189365476352
