"slopeLength","daysAfter","numSlopes","all.all.other.days","all.during.heatwave","all.after.heatwave","R.all.other.days","R.during.heatwave","R.after.heatwave","L.all.other.days","L.during.heatwave","L.after.heatwave","T.all.other.days","T.during.heatwave","T.after.heatwave"
3,0,3,8.84863395578482,15.1467018296288,22.7943775739375,8.44336628493539,16.2249444578215,30.5070769698407,9.37567265787045,12.4515387923473,12.869092722292,8.41756450520864,21.192578141874,29.1002461228031
3,0,4,8.92398861597215,15.1467018296288,19.3289624378559,8.77832742402377,16.2249444578215,22.2368719385715,9.4820656201262,12.4515387923473,10.8949623805135,7.46209191579597,21.192578141874,35.4467265613505
3,0,5,8.83695074851201,15.1467018296288,18.7009886302728,8.70923275767274,16.2249444578215,20.9919802176851,9.53209467869549,12.4515387923473,10.1635019964375,6.82047840208219,21.192578141874,36.9942955519403
3,0,6,8.65622444878295,15.1467018296288,19.0343140983942,8.2365133884769,16.2249444578215,23.6885020853226,9.58920192987721,12.4515387923473,9.56771649840556,6.82744325202498,21.192578141874,33.1707673367586
3,0,7,8.62900676652106,15.1467018296288,18.0717753572734,8.20851861516597,16.2249444578215,22.1600093129244,9.52627980314407,12.4515387923473,10.0664025656373,6.92562144992285,21.192578141874,29.6055730410076
3,0,8,8.57463910853227,15.1467018296288,17.483749781773,8.1014595767745,16.2249444578215,21.4888123575131,9.60063924876444,12.4515387923473,9.49221903732284,6.59409918947619,21.192578141874,29.2438308794674
3,0,9,8.16126905867226,15.1467018296288,19.1787481152936,7.50657936574991,16.2249444578215,23.9687700343062,9.40774799922464,12.4515387923473,10.7070554770429,6.03501742559446,21.192578141874,30.0564116039516
3,0,10,8.10770104996505,15.1467018296288,18.5435417848091,7.5192455879941,16.2249444578215,22.5062399933342,9.39745394065171,12.4515387923473,10.6552495413002,5.58050310864723,21.192578141874,30.1567574716361
3,0,11,8.3127991365879,15.1467018296288,16.7097931515396,7.9330365663908,16.2249444578215,19.2211021761869,9.59781952424128,12.4515387923473,9.53199222262252,5.04058280559918,21.192578141874,30.5297884064923
3,0,12,8.68304697222887,15.1467018296288,14.4186243109195,8.20001255123981,16.2249444578215,17.1570651185942,10.0858203934253,12.4515387923473,7.25549374751766,5.34791863502817,21.192578141874,27.5346689439677
3,0,13,8.85592790400742,15.1467018296288,13.3426554593609,8.08503564446752,16.2249444578215,17.0973462227745,10.5125242562345,12.4515387923473,5.58716119416138,5.64472586180017,21.192578141874,25.3450659647184
3,0,14,8.62806308054336,15.1467018296288,13.9792943821474,7.94966679464862,16.2249444578215,17.1129456717217,10.1417193607493,12.4515387923473,7.36251164564354,5.60024560116508,21.192578141874,24.5410478018691
3,1,3,8.92398861597215,16.8100772955974,17.4979761131673,8.77832742402377,16.8076630060175,22.806405372089,9.4820656201262,13.4173102686047,8.6969339208861,7.46209191579597,29.0569813303773,27.6081714465762
3,1,4,8.83695074851201,16.8100772955974,17.0565534764497,8.70923275767274,16.8076630060175,21.1808005614189,9.53209467869549,13.4173102686047,8.19539048836811,6.82047840208219,29.0569813303773,30.8553954550811
3,1,5,8.65622444878295,16.8100772955974,17.7018280023618,8.2365133884769,16.8076630060175,24.3606386808254,9.58920192987721,13.4173102686047,7.78543480839133,6.82744325202498,29.0569813303773,27.2332731403263
3,1,6,8.62900676652106,16.8100772955974,16.7562881098311,8.20851861516597,16.8076630060175,22.4915631531305,9.52627980314407,13.4173102686047,8.60134803264114,6.92562144992285,29.0569813303773,23.8591757899616
3,1,7,8.57463910853227,16.8100772955974,16.2357013218239,8.1014595767745,16.8076630060175,21.6839914364217,9.60063924876444,13.4173102686047,8.11423150890182,6.59409918947619,29.0569813303773,24.1024872911781
3,1,8,8.16126905867226,16.8100772955974,18.2811468618568,7.50657936574991,16.8076630060175,24.4670553410843,9.40774799922464,13.4173102686047,9.63131487850761,6.03501742559446,29.0569813303773,25.5465623227284
3,1,9,8.10770104996505,16.8100772955974,17.6557069068917,7.5192455879941,16.8076630060175,22.7847034552625,9.39745394065171,13.4173102686047,9.67503491242062,5.58050310864723,29.0569813303773,26.0780971779319
3,1,10,8.3127991365879,16.8100772955974,15.7009680410599,7.9330365663908,16.8076630060175,19.1210143517818,9.59781952424128,13.4173102686047,8.51518562083928,5.04058280559918,29.0569813303773,26.8379322797901
3,1,11,8.68304697222887,16.8100772955974,13.2626496074419,8.20001255123981,16.8076630060175,16.859894499679,10.0858203934253,13.4173102686047,6.09335073576639,5.34791863502817,29.0569813303773,23.8387309975437
3,1,12,8.85592790400742,16.8100772955974,12.1635073637731,8.08503564446752,16.8076630060175,16.8148243283702,10.5125242562345,13.4173102686047,4.34945389123059,5.64472586180017,29.0569813303773,21.6517168876096
3,1,13,8.62806308054336,16.8100772955974,12.9285856530292,7.94966679464862,16.8076630060175,16.8497401505697,10.1417193607493,13.4173102686047,6.35743461499294,5.60024560116508,29.0569813303773,20.9715576092705
3,1,14,8.8368409050042,16.8100772955974,11.8525193785539,8.0933343608549,16.8076630060175,15.7375346690132,10.5405374796967,13.4173102686047,4.97322412491372,5.35673752601096,29.0569813303773,21.0349779323085
3,2,3,9.10148079849516,16.8100772955974,14.9880812208494,8.93130641428174,16.8076630060175,20.8130566628562,9.77286740882179,13.4173102686047,3.87182020921775,7.32796061378688,29.0569813303773,30.5679776202999
3,2,4,8.92755206322497,16.8100772955974,16.1544826053925,8.46935613446879,16.8076630060175,24.7456741738695,9.83239898859396,13.4173102686047,4.17176397278142,7.34313577071364,29.0569813303773,26.1749034766974
