"slopeLength","daysAfterStart","numSlopes","all.all.other.days","all.during.heatwave","all.after.heatwave","R.all.other.days","R.during.heatwave","R.after.heatwave","L.all.other.days","L.during.heatwave","L.after.heatwave","T.all.other.days","T.during.heatwave","T.after.heatwave"
7,4,7,11.3867402726519,NA,9.0725035723017,15.8806598027286,NA,15.8990721172761,6.30798994272434,NA,-11.2094901740792,13.5011285490355,NA,51.7586800733155
7,4,8,11.2818833638673,NA,10.1531292072101,15.9333631993864,NA,15.4698500622341,6.29131473609091,NA,-9.20350882627575,12.507593933282,NA,55.3441126253845
7,5,3,10.3597527947147,NA,29.2907949961922,14.9732256092892,NA,36.841615516583,4.41596426345663,NA,8.59832109441022,15.1245090867406,NA,72.0011684857133
7,5,4,10.7234366433796,NA,18.4390536920353,15.2910350073955,NA,25.9595348335653,4.9776747006251,NA,-2.01794979277564,14.9495618691388,NA,60.4827513076979
7,5,5,11.3517076817168,NA,8.56505631395394,15.8964834802581,NA,15.6941961481913,5.86044736882936,NA,-12.4751408839774,14.7520409369599,NA,53.7759927459595
7,5,6,11.5919657695177,NA,6.41468935301413,16.1768262064294,NA,12.6369524406218,6.30347488902081,NA,-14.3038719106204,14.1238577422511,NA,53.5276584251013
7,5,7,11.4915509059304,NA,7.99339304369899,16.232497780811,NA,12.5433956403282,6.28701615741933,NA,-11.5998912597697,13.1592886377622,NA,57.5805068180958
7,5,8,11.2940373347347,NA,10.0129902348663,16.1219311528794,NA,13.8757452178484,6.17554430047611,NA,-8.69819728269478,12.3391967471956,NA,59.5077653501292
7,6,3,11.0120181961541,NA,14.4408860234211,15.5476428912621,NA,23.600560734697,5.08676052985569,NA,-6.86439284130156,15.9892295152788,NA,53.9140995221232
7,6,4,11.6352418424324,NA,3.097931217973,16.147972935618,NA,11.3586309026964,5.95818113383122,NA,-18.7242709431722,15.8117440256638,NA,47.1728142663438
7,6,5,11.8761526613482,NA,1.61091588404142,16.4278860025447,NA,8.55705150271209,6.39606682261663,NA,-19.6689221633049,15.2113449673075,NA,48.1954487772372
7,6,6,11.7808890799418,NA,4.14650784583978,16.4859217617178,NA,9.03800354338149,6.3810378761432,NA,-15.725898075078,14.2764456048732,NA,53.6486459752564
7,6,7,11.5901619251907,NA,6.94990526541454,16.3803199163398,NA,11.012650334398,6.27248420139296,NA,-11.8689386190334,13.4843361550813,NA,56.3260820710073
7,6,8,11.257994496939,NA,10.278061150431,16.125950853569,NA,13.7714243303739,5.7723447558618,NA,-5.66242829020898,13.4685482685139,NA,53.3984628392749
7,7,3,11.9186311002399,NA,-6.19966775959877,16.4974367683745,NA,1.70659418279626,6.04719454678638,NA,-29.0036282572167,16.548412637697,NA,42.2178525448755
7,7,4,12.1601730995256,NA,-5.73403718262031,16.7783703318653,NA,0.617629112790863,6.4799613421341,NA,-27.6146029538714,15.9696664970798,NA,44.7348861138593
7,7,5,12.0699037098929,NA,-1.40746876895647,16.8399499341851,NA,2.58407357914019,6.46621035682506,NA,-21.4705978840067,15.0594169790678,NA,51.8825294583107
7,7,6,11.8857520657519,NA,2.70740710918975,16.7404443085837,NA,5.8649857470468,6.3603743846897,NA,-16.0821226059784,14.2902011057148,NA,55.2876061874179
