"period","daysAfter","mean_percent_change","sd_percent_change","number_percent_change","lake","median_percent_change"
"after heatwave",20,0.72716817661646,35.1285536017359,72,"all",-5.80566766064316
"after heatwave",21,-0.414440443518752,35.2842844492894,72,"all",-6.48549641148312
"after heatwave",22,-1.19230772103515,35.0733048396906,72,"all",-6.2921576475297
"after heatwave",23,-0.988967729530074,35.6588940831007,72,"all",-4.21519667087558
"after heatwave",24,0.451889129298194,38.8165209521114,72,"all",-6.03857383549225
"after heatwave",25,1.41866667767924,40.4385221164563,72,"all",-6.03857383549225
"after heatwave",26,2.33509763971206,40.1535095376609,72,"all",-0.55100070683031
"after heatwave",27,3.35512932295319,39.6366886273635,72,"all",0.0934245003146346
"after heatwave",28,4.26306121438348,39.4712569280837,72,"all",0.815502203424369
"after heatwave",29,4.44112811838321,38.3946939364214,72,"all",2.90449163112225
"after heatwave",30,3.57803026095346,37.7286246360338,72,"all",2.90449163112225
"after heatwave",31,3.16914825914718,37.6748220150198,72,"all",1.36012846939344
"after heatwave",32,3.3575052699444,37.2110153553812,72,"all",1.36012846939344
"after heatwave",33,4.14826511197215,36.2901814002097,72,"all",3.42996300776936
"after heatwave",34,5.1011940031739,33.5099913094868,72,"all",5.15193228872857
"after heatwave",35,8.03577108280318,33.9504191436068,72,"all",5.54971182090539
"after heatwave",36,9.11850509330964,34.1596721819916,72,"all",7.04321628473036
"after heatwave",37,8.87863621794375,34.487796889435,72,"all",7.04321628473036
"after heatwave",38,9.93327656820376,34.5667283169842,70,"all",8.43810355628549
"after heatwave",39,10.5865501142614,34.8815085276478,68,"all",9.24658418278173
"after heatwave",40,9.26334072005335,33.3748364152273,66,"all",9.24658418278173
