"period","daysAfter","mean_percent_change","sd_percent_change","number_percent_change","lake","median_percent_change"
"after heatwave",25,-1.18744255665134,44.9156065604051,48,"R",NA
"after heatwave",26,0.538436481104355,44.5390540257105,48,"R",NA
"after heatwave",27,2.11310664877171,48.559642537436,48,"R",NA
"after heatwave",28,3.98230570683437,60.6474410537624,48,"R",NA
"after heatwave",29,4.65365185172507,65.901870953028,48,"R",NA
"after heatwave",30,2.75223175311552,65.6262436076044,48,"R",NA
"after heatwave",31,6.34476093231214,69.3021458626157,48,"R",NA
"after heatwave",32,7.33407989936598,68.4375441244191,48,"R",NA
"after heatwave",33,3.61708970978014,60.0654801212809,48,"R",NA
"after heatwave",34,-0.150140877886863,52.7920863692081,48,"R",NA
"after heatwave",35,3.35850901057953,54.7459791605565,48,"R",NA
"after heatwave",36,3.9740217800269,58.8832242415996,48,"R",NA
"after heatwave",37,2.85103166485706,57.6107042725693,48,"R",NA
"after heatwave",38,4.81558578265047,57.3608336914178,46,"R",NA
"after heatwave",39,7.50718260297062,57.9006404801635,44,"R",NA
"after heatwave",40,6.00755566452271,56.0124658186348,42,"R",NA
"after heatwave",-14,19.6842686331444,50.261151617389,44,"all",13.5847880197896
"after heatwave",-13,14.7339499479577,47.5784288572612,54,"all",7.84225263094629
"after heatwave",-12,8.52517348403672,51.475768798197,64,"all",1.92774527702496
"after heatwave",-11,3.74462927839766,51.5583034406196,74,"all",-2.39626476669117
"after heatwave",-10,7.91977750420551,50.9514879194689,82,"all",3.83757049181072
"after heatwave",-9,9.23642710972491,49.2297651549726,90,"all",8.73530749006074
"after heatwave",-8,8.40405538869988,50.0603270159117,98,"all",6.03121501711532
"after heatwave",-7,4.67892604451382,48.9073300331536,106,"all",1.92774527702496
"after heatwave",-6,6.83559483148325,48.1477097352882,106,"all",4.54744272952594
"after heatwave",-5,9.6731671304574,57.927664754656,106,"all",4.54744272952594
"after heatwave",-4,14.6120875130605,60.8666023241109,106,"all",7.2378632327037
"after heatwave",-3,21.4519379840966,62.0065690816824,106,"all",15.6016095587519
"after heatwave",-2,25.9128228225708,62.0602804238822,106,"all",18.3292540176022
"after heatwave",-1,34.8555033251605,64.9971549942559,106,"all",28.7902828417112
"after heatwave",0,32.8632502217716,58.5785618525499,106,"all",26.1349524461076
"after heatwave",1,29.6192686551037,58.9839426346898,106,"all",18.3292540176022
"after heatwave",2,22.856003031985,60.7926837537761,106,"all",14.3354662492771
"after heatwave",3,21.6940989595855,59.9677745409833,106,"all",13.5847880197896
"after heatwave",4,17.1933458470807,56.915759727137,106,"all",8.58503600102658
"after heatwave",5,23.9272698359951,75.9281694210796,106,"all",7.64024418706022
"after heatwave",6,26.9070667814114,79.1227555888922,106,"all",10.2034008417881
"after heatwave",7,25.0944189824474,78.8611609322686,106,"all",9.10921964364689
"after heatwave",8,20.7199930478568,80.7899792756753,106,"all",3.67451026413398
"after heatwave",9,14.6471362125929,79.9082117471785,106,"all",-0.292619645852643
"after heatwave",10,3.07791072141299,58.3517281219965,110,"all",-3.90339470981531
"after heatwave",11,-2.36442392039177,50.4784617418133,110,"all",-6.39227848661661
"after heatwave",12,5.755960523555,64.6804071774354,110,"all",-0.292619645852643
"after heatwave",13,13.6362961452877,65.1026198998724,110,"all",4.49907988833076
"after heatwave",14,18.5117821588957,65.0460492019224,110,"all",7.89543877621283
"after heatwave",15,21.2428610105485,66.1565598833279,106,"all",9.98206713210277
"after heatwave",16,21.6309080699901,66.1876930638059,104,"all",5.43508661890845
"after heatwave",17,15.5329981859892,51.0528710944736,102,"all",4.19760416585479
"after heatwave",18,10.0986298220919,48.135619530498,100,"all",0.772391642326742
"after heatwave",19,5.29414507803951,46.0218639431518,98,"all",-5.63669068147619
"after heatwave",20,1.34467332783006,46.2438373061412,96,"all",-7.30993842486388
"after heatwave",21,-0.650526156779884,46.5270625825461,96,"all",-7.69179483399973
"after heatwave",22,-1.77117289669548,47.5666035117364,96,"all",-11.724878727896
"after heatwave",23,-0.228180284014479,50.063348611992,96,"all",-7.91223113551228
"after heatwave",24,3.23266025496417,52.3008056871146,96,"all",-2.39626476669117
"after heatwave",25,6.51722853124824,51.7897625823314,96,"all",1.85983577184063
"after heatwave",26,7.55224535894523,51.5858253831835,96,"all",1.85983577184063
"after heatwave",27,7.01948052355745,52.1749300514717,96,"all",1.85983577184063
"after heatwave",28,5.22040394914438,56.8439876799566,96,"all",-0.875580295335365
"after heatwave",29,3.50132136305337,58.6388171432103,96,"all",-3.90339470981531
"after heatwave",30,0.932415823921728,58.3605542880509,96,"all",-10.0701239944264
"after heatwave",31,0.110999232164026,62.6152427958385,96,"all",-12.0725774767132
"after heatwave",32,-1.96743168408321,64.7187880420767,96,"all",-12.6457144320136
"after heatwave",33,-3.77938514044346,59.7017617586136,96,"all",-13.388109651843
"after heatwave",34,-2.00298622958945,58.3954090849292,96,"all",-12.4563746160522
"after heatwave",35,3.16242066389422,60.5143581450941,96,"all",-5.60627915326987
"after heatwave",36,6.6724873972239,60.212804886312,96,"all",-2.74767095369644
"after heatwave",37,8.9765379571848,56.6113455638429,96,"all",1.92774527702496
"after heatwave",38,11.1536079547814,56.5612784609997,92,"all",7.95081968697163
"after heatwave",39,9.27908061569483,55.3473877844291,88,"all",7.95081968697163
"after heatwave",40,5.87364607162623,53.4725063958928,84,"all",2.2306103068997
