"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","event_name","category","p_moderate","p_strong","p_severe","p_extreme","lake","year","lake_year","averageSlope","intercept","SE","SE.percent","absoluteChange","percentChange","sdSlope","sdSlopePercent","medianSlopePercent","num.slopes.included"
1,146,149,152,7,"2009-06-21","2009-06-24","2009-06-27",3.4272,4.7721,0.9569,23.9906,1.4516,2.7933,0.9609,10.161,25.629,26.9836,1.0482,179.4028,0.7645,1.0094,"Event 2009","II Strong",71,29,0,0,"L",2009,"L_2009",0.113534404761903,-17.9847330952378,0.0540902172180963,20.6232777184838,0.908275238095224,43.2878934570838,NA,NA,43.2878934570838,1
2,226,233,241,16,"2010-05-19","2010-05-26","2010-06-03",4.3216,6.0804,1.2572,69.1464,2.1642,3.9374,1.1639,34.6266,21.7151,24.0045,1.9955,347.4412,0.5515,0.4022,"Event 2010a","II Strong",44,56,0,0,"L",2010,"L_2010",0.186260595238095,-24.1738926190476,0.101292147783867,25.024927497157,1.49008476190476,46.0169716349227,NA,NA,46.0169716349227,1
3,308,312,314,7,"2010-08-09","2010-08-13","2010-08-15",2.8165,3.6761,0.6666,19.7153,1.3949,2.2741,0.6864,9.7645,25.8773,26.6752,0.617,181.1413,0.5177,0.8885,"Event 2010b","II Strong",57,43,0,0,"L",2010,"L_2010",0.256153333333328,-54.1337399999987,0.148858404694354,27.8754532327153,2.04922666666662,47.9676661751041,NA,NA,47.9676661751041,1
4,400,403,406,7,"2011-07-18","2011-07-21","2011-07-24",2.9353,3.8921,0.68,20.547,1.161,2.1094,0.6655,8.1268,26.7635,27.7262,0.6873,187.3444,0.5624,0.6199,"Event 2011","II Strong",86,14,0,0,"L",2011,"L_2011",0.219844880952381,-42.5538219047619,0.081789872412867,49.1573680800361,1.75875904761905,132.131221319618,NA,NA,132.131221319618,1
5,506,510,512,7,"2013-07-14","2013-07-18","2013-07-20",3.4212,4.5811,1.0111,23.9482,1.6175,2.777,1.0107,11.3223,27.2339,28.4115,1.0312,190.6375,0.6789,0.9247,"Event 2013a","II Strong",43,57,0,0,"L",2013,"L_2013",0.262535019452379,-50.157290331452,0.0425422043201039,23.4184850750596,2.10028015561903,144.519366896572,NA,NA,144.519366896572,1
6,548,552,555,8,"2013-08-25","2013-08-29","2013-09-01",3.0182,4.0436,0.7481,24.1457,1.6166,2.6382,0.7416,12.9327,24.5517,25.5248,0.7262,196.4132,0.611,0.6404,"Event 2013b","II Strong",25,75,0,0,"L",2013,"L_2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7,574,577,578,5,"2014-05-29","2014-06-01","2014-06-02",3.7506,4.4468,0.805,18.7529,1.4143,2.0803,0.7675,7.0716,22.115,23.0169,1.0914,110.5752,0.6335,0.8359,NA,"I Moderate",100,0,0,0,"L",2014,"L_2014",0.0894913695555437,-12.1817639477028,0.0727519951074728,81.1981769411447,0.715930956444349,99.8809180303842,NA,NA,99.8809180303842,1
8,773,775,777,5,"2015-08-14","2015-08-16","2015-08-18",2.164,2.895,0.5696,10.8198,0.801,1.536,0.5691,4.0049,24.9502,25.6845,0.6081,124.7508,0.6679,0.733,"Event 2015","II Strong",80,20,0,0,"L",2015,"L_2015",0.0686604276929837,-13.2517438031986,0.0402871595825853,13.5134314396423,0.54928342154387,23.0306130255638,NA,NA,23.0306130255638,1
9,800,807,809,10,"2018-05-23","2018-05-30","2018-06-01",4.7762,6.7077,1.5482,47.7622,2.5687,4.4265,1.4711,25.6871,22.4027,24.8707,2.0176,224.027,0.6313,1.5524,"Event 2018a","II Strong",40,60,0,0,"L",2018,"L_2018",0.120791961311694,-15.9783673388743,0.0665289342255904,35.7496092572804,0.966335690493556,64.9080805002974,NA,NA,64.9080805002974,1
10,837,838,849,13,"2018-06-29","2018-06-30","2018-07-11",2.5803,3.5656,0.4294,33.5442,0.7254,1.6838,0.4223,9.4302,25.8436,26.4201,0.4014,335.9667,1.0486,0.1604,NA,"I Moderate",100,0,0,0,"L",2018,"L_2018",-0.0611948621454032,14.3960427156174,0.065122462879571,16.5564171344012,-0.489558897163226,-15.5578830922764,NA,NA,-15.5578830922764,1
11,880,883,889,10,"2018-08-11","2018-08-14","2018-08-20",2.1565,2.9275,0.4583,21.565,0.7808,1.5398,0.4485,7.8083,24.9705,25.8598,0.6065,249.705,0.3983,0.2664,"Event 2018b","II Strong",90,10,0,0,"L",2018,"L_2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
12,957,958,962,6,"2019-07-15","2019-07-16","2019-07-20",2.3587,2.6966,0.3418,14.1524,0.5555,0.8892,0.3373,3.3332,26.1791,26.5054,0.3295,157.0748,0.4011,0.2611,NA,"I Moderate",100,0,0,0,"L",2019,"L_2019",-0.0149695473936774,6.72307313152786,0.0749001157946127,14.8688203972169,-0.119756379149419,-2.97168447956157,NA,NA,-2.97168447956157,1
13,976,978,980,5,"2019-08-03","2019-08-05","2019-08-07",1.9005,2.2897,0.2856,9.5024,0.3601,0.7492,0.2796,1.8007,25.3681,25.7603,0.3195,126.8403,0.364,0.3614,NA,"I Moderate",100,0,0,0,"L",2019,"L_2019",0.276299024346351,-54.7155361414402,0.062511660576881,9.53123591346239,2.21039219477081,42.1276792105969,NA,NA,42.1276792105969,1
1,50,53,54,5,"2013-07-05","2013-07-08","2013-07-09",2.679,3.2837,0.5134,13.3948,0.8291,1.436,0.519,4.1456,25.6279,26.3043,0.6158,128.1395,0.4122,0.7676,NA,"I Moderate",100,0,0,0,"T",2013,"T_2013",1.02848233178571,-187.100274233606,0.175924907775086,32.4863239377504,8.22785865428569,189.91972550788,NA,NA,189.91972550788,1
2,59,63,66,8,"2013-07-14","2013-07-18","2013-07-21",3.5568,5.1495,1.2808,28.454,1.7557,3.3453,1.277,14.0453,26.883,28.4907,1.2937,215.0641,0.7948,1.0328,"Event 2013a","II Strong",50,50,0,0,"T",2013,"T_2013",0.898890825499989,-171.626062727498,0.183480405577067,22.6060690321428,7.19112660399991,110.749635579356,NA,NA,110.749635579356,1
3,100,105,108,9,"2013-08-24","2013-08-29","2013-09-01",3.1395,4.6838,1.0457,28.2554,1.7423,3.2784,1.0342,15.6808,24.2438,25.6758,0.9417,218.1939,0.5894,0.8014,"Event 2013b","III Severe",33,56,11,0,"T",2013,"T_2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,124,130,132,9,"2014-05-26","2014-06-01","2014-06-03",3.5361,4.5832,0.8634,31.8247,1.2458,2.2167,0.8171,11.2118,21.1991,22.6993,1.205,190.792,0.4133,1.0809,NA,"I Moderate",100,0,0,0,"T",2014,"T_2014",1.31050049977923,-193.238406055439,0.230130534625762,103.62612125738,10.4840039982339,590.108930650253,NA,NA,590.108930650253,1
5,306,308,310,5,"2015-07-25","2015-07-27","2015-07-29",2.7657,3.5783,0.6879,13.8283,1.0853,1.8968,0.6908,5.4266,26.0391,26.8533,0.6863,130.1954,0.7145,0.8067,"Event 2015a","II Strong",80,20,0,0,"T",2015,"T_2015",-0.44918117174664,100.104619333593,0.0718526957323596,7.28663292127018,-3.59344937397312,-45.5517817432387,NA,NA,-45.5517817432387,1
6,326,328,330,5,"2015-08-14","2015-08-16","2015-08-18",2.6402,3.2884,0.619,13.201,1.2772,1.9293,0.6205,6.386,24.9372,25.5887,0.6424,124.6862,0.7067,0.7537,"Event 2015b","II Strong",40,60,0,0,"T",2015,"T_2015",1.59046890414802,-335.173424962693,0.525281039545266,23.1430878573167,12.7237512331842,70.073653552949,NA,NA,70.073653552949,1
