"year","lake","doyCat","manual_chl","mean_temp","mean_chl","mean_pH","mean_doSat","mean_do","date","lake_year","""lake_year""","chl_slope","se","p_value","r_squared","percent_change","period","shift"
2018,"R",184,2.26572819853148,25.8682643127146,2.26572819853148,6.86403767632084,99.4871296062301,7.56674565202144,2018-07-03,"R_2018","lake_year",0.0535941084659205,NA,0.670795211096019,0.032179752424185,18.606968372332,"during heatwave",40
2018,"R",185,2.18945218200864,25.8459688293799,2.18945218200864,6.89873723166981,99.9671445596523,7.60271678049641,2018-07-04,"R_2018","lake_year",0.048233771827164,NA,0.702336060540229,0.0260959811605461,16.0066361485762,"during heatwave",40
2018,"R",186,3.28077598680442,25.9920486111111,3.28077598680442,6.89449385629814,99.7868055555556,7.56743055555556,2018-07-05,"R_2018","lake_year",0.104316718231575,NA,0.446223312473816,0.0996640326188612,39.432487605716,"during heatwave",40
2018,"R",187,2.44601696485819,25.6956597222222,2.44601696485819,6.91126414134405,100.221134097632,7.6430307071896,2018-07-06,"R_2018","lake_year",0.0692214802210561,NA,0.611458700586591,0.0456390756348794,24.6261774586655,"during heatwave",40
2018,"R",188,3.04008853959471,25.7712922566161,3.04008853959471,6.88416213368952,99.9608359035594,7.61174815644602,2018-07-07,"R_2018","lake_year",0.0330530947919238,NA,0.797271152475609,0.0118770545198179,14.4439275022245,"during heatwave",40
2018,"R",189,2.6521631063698,25.6098263888889,2.6521631063698,6.86469277704784,98.9857638888889,7.56034722222222,2018-07-08,"R_2018","lake_year",0.1613570880339,NA,0.0641688150187864,0.460771760916518,30.0537708574023,"exclude after heatwave",40
2018,"R",190,2.27518979446379,26.2796675439089,2.27518979446379,6.86993366459175,99.1330746224703,7.47934320401109,2018-07-09,"R_2018","lake_year",0.0273833892711662,NA,0.686351530309997,0.0290900347260283,14.1178623136523,"exclude after heatwave",40
2018,"R",191,2.1285998629645,26.2565984076036,2.1285998629645,6.89300993547446,99.4545314899447,7.50646746483682,2018-07-10,"R_2018","lake_year",-0.0217021113483376,NA,0.767290161088874,0.0157304249199418,-6.15557656285541,"exclude after heatwave",40
2018,"R",192,2.29586273352139,25.7596745530489,2.29586273352139,6.83621994088944,96.8772362034759,7.3790465033234,2018-07-11,"R_2018","lake_year",-0.0704334964645049,NA,0.313616813840708,0.167746346466746,-21.7605304807122,"exclude after heatwave",40
2018,"R",193,2.55456609627345,24.8057638888889,2.55456609627345,6.79178043288169,95.1576388888889,7.376875,2018-07-12,"R_2018","lake_year",-0.106496187288065,NA,0.0767669127494229,0.431529768602197,-34.0483942578067,"exclude after heatwave",40
2018,"R",194,2.81573206618598,24.7353825683458,2.81573206618598,6.77924530532966,94.5990671093698,7.34283424949927,2018-07-13,"R_2018","lake_year",-0.0125606852066223,NA,0.811274105903709,0.0102709336134521,-2.67999999999994,"exclude after heatwave",40
2018,"R",195,3.52988814272099,25.1692708333333,3.52988814272099,6.78646871490447,95.2107638888889,7.3309375,2018-07-14,"R_2018","lake_year",0.062521830916081,NA,0.423403955225413,0.10947729053156,17.8924685601247,"exclude after heatwave",40
2018,"R",196,2.26086778966214,26.1070833333333,2.26086778966214,6.73710311191686,95.4515917587703,7.2390531751337,2018-07-15,"R_2018","lake_year",0.0696967201993899,NA,0.358238446635463,0.14158834239827,16.0481194886768,"exclude after heatwave",40
2018,"R",197,3.02434081485805,26.2769791666667,3.02434081485805,6.77344788157114,97.6888888888889,7.37006944444444,2018-07-16,"R_2018","lake_year",0.117483797306657,NA,0.118324840914835,0.356151056225998,31.0081449806552,"exclude after heatwave",40
2018,"R",198,2.71392270173621,25.5662152777778,2.71392270173621,6.78487149268225,96.5572916666667,7.38055555555556,2018-07-17,"R_2018","lake_year",0.0901513266045992,NA,0.232304247201695,0.227294356236992,27.7365557707646,"exclude after heatwave",40
2018,"R",199,2.51931193060784,25.2340562107101,2.51931193060784,6.83542991786321,96.8533146826209,7.44861342628796,2018-07-18,"R_2018","lake_year",0.0204492059509094,NA,0.776805904115873,0.0144454667371068,6.72481682193705,"exclude after heatwave",40
2018,"R",200,2.53272665908722,25.2855623599276,2.53272665908722,6.79537855819849,96.734174437147,7.43278597880817,2018-07-19,"R_2018","lake_year",-0.039516667094676,NA,0.553775439969351,0.0614856823900665,-12.0484846774118,"exclude after heatwave",40
2018,"R",201,3.12634459566259,24.4029166666667,3.12634459566259,6.77966315934891,94.8291666666667,7.40690972222222,2018-07-20,"R_2018","lake_year",-0.0279357785966338,NA,0.687610059954474,0.0288477139486178,-7.65493797407323,"exclude after heatwave",40
2018,"R",202,3.85119357171015,23.0542850694468,3.85119357171015,6.74192531147387,92.7036182734109,7.42835610779384,2018-07-21,"R_2018","lake_year",0.0584174856486326,NA,0.52944255598091,0.0690718782614787,14.5227738267842,"exclude after heatwave",40
2018,"R",203,3.86869104363977,22.8983400455107,3.86869104363977,6.80598397348067,94.9386619088127,7.62793299072753,2018-07-22,"R_2018","lake_year",0.19809174967098,NA,0.016999701742037,0.640794083024274,39.282894857625,"exclude after heatwave",40
2018,"R",204,3.42937488730304,23.2230555555556,3.42937488730304,6.96129510379336,98.04375,7.8296875,2018-07-23,"R_2018","lake_year",0.157123131863272,NA,0.0494685458568957,0.501079118276524,48.6477771089508,"exclude after heatwave",40
2018,"R",205,3.16146915042502,24.178125,3.16146915042502,6.96834371490447,101.077083333333,7.9278125,2018-07-24,"R_2018","lake_year",0.147808119690509,NA,0.0701770610106191,0.446320344899785,34.2109868289472,"exclude after heatwave",40
2018,"R",206,3.04352322852904,24.1225857605074,3.04352322852904,6.98527065182126,100.446054173332,7.8874199495742,2018-07-25,"R_2018","lake_year",0.0921402367736713,NA,0.27839838408224,0.191373247049005,23.7656605695909,"exclude after heatwave",40
2018,"R",207,4.17852590769729,23.159375,4.17852590769729,6.88872565934891,97.4791666666667,7.79482638888889,2018-07-26,"R_2018","lake_year",0.102357124814412,NA,0.246462125683342,0.215572880306021,28.4403001071811,"exclude after heatwave",40
2018,"R",208,4.50235874929851,22.5366666666667,4.50235874929851,6.90740621490447,96.5072916666667,7.80947916666667,2018-07-27,"R_2018","lake_year",0.101492280633059,NA,0.248650631112803,0.21381895622964,28.0506371219487,"exclude after heatwave",40
2018,"R",209,3.18784496922264,22.3970138888889,3.18784496922264,6.94188538157114,97.0621527777778,7.87440972222222,2018-07-28,"R_2018","lake_year",0.0077905410734273,NA,0.932488795374054,0.00129867719445859,1.74433066622438,"exclude after heatwave",40
2018,"R",210,3.6763484633171,22.6652407268389,3.6763484633171,6.99515847903503,99.2439675362531,8.01021669254795,2018-07-29,"R_2018","lake_year",0.0309955217039058,NA,0.731984448686271,0.0210132687128243,5.63380281690161,"exclude after heatwave",40
2018,"R",211,2.57770164249151,23.0505043325843,2.57770164249151,7.01048489534171,100.605487358722,8.06028336926431,2018-07-30,"R_2018","lake_year",-0.0313156914945027,NA,0.77341337934732,0.0148969157510902,-5.66625346890663,"exclude after heatwave",40
2018,"R",212,2.61872349334874,23.7868692525439,2.61872349334874,7.04191072554746,102.163898404415,8.07208364743154,2018-07-31,"R_2018","lake_year",-0.106540162415928,NA,0.361163625825417,0.140002428482535,-21.7468536225855,"exclude after heatwave",40
2018,"R",213,3.16036745774797,23.6743402777778,3.16036745774797,6.9907395482378,100.073611111111,7.92461805555556,2018-08-01,"R_2018","lake_year",-0.14603059873258,NA,0.19373684376599,0.262989454078992,-32.33351782005,"exclude after heatwave",40
2018,"R",214,3.93544065877871,22.1519614567366,3.93544065877871,6.9068368565037,96.1375028609989,7.83791351653312,2018-08-02,"R_2018","lake_year",-0.133542433912262,NA,0.250144339271954,0.212630423985362,-30.7143059932429,"exclude after heatwave",40
2018,"R",215,3.88372590840893,21.8017831556114,3.88372590840893,6.89428831202596,95.5598654515022,7.84295921048963,2018-08-03,"R_2018","lake_year",-0.0249925310035364,NA,0.830804439794987,0.0082327307489973,-4.18682858235921,"exclude after heatwave",40
2018,"R",216,3.34285960942879,21.7307291666667,3.34285960942879,6.86337843712669,95.4434027777778,7.84461805555556,2018-08-04,"R_2018","lake_year",0.0802006038114625,NA,0.357951359327643,0.141744788344313,12.4691135900201,"exclude after heatwave",40
