"lake","year","doy","avg.schmidt.stability"
"Paul",2009,146,92.7209496120227
"Paul",2009,147,76.654900115598
"Paul",2009,148,71.6521313748381
"Paul",2009,149,84.4598709279521
"Paul",2009,150,93.636122231061
"Paul",2009,151,81.5480361922647
"Paul",2009,152,71.8448876557948
"Paul",2009,153,64.9935543908438
"Paul",2009,154,68.8822368757907
"Paul",2009,155,79.2660665481085
"Paul",2009,156,90.4343330167338
"Paul",2009,157,90.2116178036398
"Paul",2009,158,85.3938719203995
"Paul",2009,159,71.2478056233199
"Paul",2009,160,66.8671368951871
"Paul",2009,161,69.3828834740976
"Paul",2009,162,67.0074444084475
"Paul",2009,163,72.2233685263795
"Paul",2009,164,88.3528749512433
"Paul",2009,165,91.9507124911894
"Paul",2009,166,103.41995085732
"Paul",2009,167,122.673744195691
"Paul",2009,168,133.359843265916
"Paul",2009,169,148.306505804956
"Paul",2009,170,153.411903898999
"Paul",2009,171,163.418300799224
"Paul",2009,172,179.347412954777
"Paul",2009,173,192.689010209444
"Paul",2009,174,205.072328602051
"Paul",2009,175,228.344870816647
"Paul",2009,176,223.284484388869
"Paul",2009,177,222.314370397243
"Paul",2009,178,208.678469595811
"Paul",2009,179,175.469653742475
"Paul",2009,180,142.33725015496
"Paul",2009,181,124.439054529741
"Paul",2009,182,113.839338470602
"Paul",2009,183,109.842088318224
"Paul",2009,184,109.724245291262
"Paul",2009,185,125.116169735231
"Paul",2009,186,137.778650509097
"Paul",2009,187,144.5634266898
"Paul",2009,188,146.075271544812
"Paul",2009,189,150.390613091744
"Paul",2009,190,161.192973646182
"Paul",2009,191,174.668362890784
"Paul",2009,192,180.643824423027
"Paul",2009,193,174.017561299283
"Paul",2009,194,169.857328527459
"Paul",2009,195,169.304800121258
"Paul",2009,196,160.685318063125
"Paul",2009,197,146.350810814673
"Paul",2009,198,134.860657032062
"Paul",2009,199,122.862683696328
"Paul",2009,200,116.739558928442
"Paul",2009,201,121.628447751992
"Paul",2009,202,133.753469124026
"Paul",2009,203,137.735065517763
"Paul",2009,204,147.877281092942
"Paul",2009,205,157.298076423546
"Paul",2009,206,153.915843042184
"Paul",2009,207,147.392018055641
"Paul",2009,208,157.964592651116
"Paul",2009,209,162.358768634992
"Paul",2009,210,150.231675064696
"Paul",2009,211,149.945152770212
"Paul",2009,212,142.223207633679
"Paul",2009,213,144.306977651993
"Paul",2009,214,131.344735643505
"Paul",2009,215,136.53807128125
"Paul",2009,216,143.133181235261
"Paul",2009,217,142.213721045258
"Paul",2009,218,143.668574621074
"Paul",2009,219,144.029063637778
"Paul",2009,220,139.175927520262
"Paul",2009,221,154.453677338265
"Paul",2009,222,156.347367442359
"Paul",2009,223,156.407899803389
"Paul",2009,224,163.044056649054
"Paul",2009,225,175.496340370524
"Paul",2009,226,190.945211147132
"Paul",2009,227,200.420268687586
"Paul",2009,228,203.842841080567
"Paul",2009,229,189.141156622715
"Paul",2009,230,178.923939617898
"Paul",2009,231,163.74449629725
"Paul",2009,232,147.744963430794
"Paul",2009,233,121.456218074649
"Paul",2009,234,111.800877065678
"Paul",2009,235,107.089425900453
"Paul",2009,236,115.344189841972
"Paul",2009,237,120.503736328372
"Paul",2009,238,114.624844139512
"Paul",2009,239,118.557498861921
"Paul",2009,240,121.839327702873
"Paul",2009,241,90.5528978785536
"Paul",2009,242,77.814914899568
"Paul",2009,243,72.5557283405385
"Paul",2010,134,36.4522999388065
"Paul",2010,135,32.2164578627285
"Paul",2010,136,44.921283589439
"Paul",2010,137,55.9432769872872
"Paul",2010,138,65.8926818247499
"Paul",2010,139,78.1658652753383
"Paul",2010,140,89.7193421761844
"Paul",2010,141,103.135504103114
"Paul",2010,142,101.859242760257
"Paul",2010,143,101.59659823823
"Paul",2010,144,119.188760353613
"Paul",2010,145,144.374534550921
"Paul",2010,146,145.954242752582
"Paul",2010,147,141.777589759466
"Paul",2010,148,143.153321415347
"Paul",2010,149,151.808374388016
"Paul",2010,150,167.478708051667
"Paul",2010,151,168.83256709543
"Paul",2010,152,171.678637865842
"Paul",2010,153,166.24517894796
"Paul",2010,154,151.837963246653
"Paul",2010,155,144.040330150897
"Paul",2010,156,134.979552966362
"Paul",2010,157,131.130556326574
"Paul",2010,158,121.285216801284
"Paul",2010,159,110.747133600518
"Paul",2010,160,106.219429109578
"Paul",2010,161,108.189934093303
"Paul",2010,162,111.917332641071
"Paul",2010,163,106.512265142691
"Paul",2010,164,106.293501348275
"Paul",2010,165,106.240461873087
"Paul",2010,166,111.554800167424
"Paul",2010,167,114.542323922096
"Paul",2010,168,111.597199916316
"Paul",2010,169,132.892579867927
"Paul",2010,170,146.148126891456
"Paul",2010,171,139.728969773438
"Paul",2010,172,156.453451216556
"Paul",2010,173,159.617501280833
"Paul",2010,174,178.304802694604
"Paul",2010,175,167.108520846203
"Paul",2010,176,178.781852464365
"Paul",2010,177,176.711068858755
"Paul",2010,178,181.78363231062
"Paul",2010,179,179.019020309185
"Paul",2010,180,164.113864478918
"Paul",2010,181,159.059406623877
"Paul",2010,182,161.605331833883
"Paul",2010,183,168.364485249675
"Paul",2010,184,182.131580583002
"Paul",2010,185,206.57211882116
"Paul",2010,186,200.895072523118
"Paul",2010,187,201.258779781152
"Paul",2010,188,215.190759996873
"Paul",2010,189,221.387453105544
"Paul",2010,190,226.774055198812
"Paul",2010,191,225.754125750183
"Paul",2010,192,225.591629086974
"Paul",2010,193,210.540459889371
"Paul",2010,194,207.51909704835
"Paul",2010,195,195.539315883753
"Paul",2010,196,190.079946368471
"Paul",2010,197,200.139009601101
"Paul",2010,198,207.384393754424
"Paul",2010,199,214.040855271101
"Paul",2010,200,213.79549289695
"Paul",2010,201,211.430348795138
"Paul",2010,202,204.881394767731
"Paul",2010,203,207.60453960761
"Paul",2010,204,198.187704793484
"Paul",2010,205,201.011937276263
"Paul",2010,206,191.662092275615
"Paul",2010,207,199.929696949171
"Paul",2010,208,205.299430719931
"Paul",2010,209,200.881497142495
"Paul",2010,210,200.579670132089
"Paul",2010,211,203.20533588885
"Paul",2010,212,208.245130793474
"Paul",2010,213,205.205923613264
"Paul",2010,214,203.157968964084
"Paul",2010,215,202.891169277125
"Paul",2010,216,214.044335496642
"Paul",2010,217,213.244028681805
"Paul",2010,218,200.105239900355
"Paul",2010,219,193.034236600376
"Paul",2010,220,197.508468895076
"Paul",2010,221,205.225573347751
"Paul",2010,222,219.097083875985
"Paul",2010,223,224.093385075647
"Paul",2010,224,230.109459934932
"Paul",2010,225,238.865831365404
"Paul",2010,226,229.406115717175
"Paul",2010,227,209.301881818642
"Paul",2010,228,182.047846938815
"Paul",2010,229,160.955411081152
"Paul",2010,230,150.199914605173
"Paul",2010,231,143.287630076098
"Paul",2010,232,141.740748671646
"Paul",2010,233,143.613812034137
"Paul",2010,234,144.523674414316
"Paul",2010,235,154.746224454409
"Paul",2010,236,165.634198795905
"Paul",2010,237,147.121274220467
"Paul",2010,238,134.674886192798
"Paul",2010,239,135.255393457414
"Paul",2010,240,141.091383929894
"Paul",2010,241,146.932339906349
"Paul",2010,242,159.967241858305
"Paul",2010,243,174.387181961136
"Paul",2010,244,170.241649867763
"Paul",2010,245,158.179690138026
"Paul",2010,246,113.755624405418
"Paul",2010,247,98.2360335635235
"Paul",2011,152,85.4516615357282
"Paul",2011,153,86.5346526663707
"Paul",2011,154,97.0785386260867
"Paul",2011,155,106.4734244492
"Paul",2011,156,121.112670155122
"Paul",2011,157,134.984526861981
"Paul",2011,158,156.115406785775
"Paul",2011,159,176.486959518189
"Paul",2011,160,146.933059859562
"Paul",2011,161,116.45408776187
"Paul",2011,162,107.345711013728
"Paul",2011,163,107.115628837028
"Paul",2011,164,116.697151372213
"Paul",2011,165,131.112535997141
"Paul",2011,166,137.550151802077
"Paul",2011,167,136.322234713851
"Paul",2011,168,132.668517728855
"Paul",2011,169,144.577853324702
"Paul",2011,170,133.249334218108
"Paul",2011,171,126.373323433474
"Paul",2011,172,120.139050742274
"Paul",2011,173,116.484312566529
"Paul",2011,179,125.72340076193
"Paul",2011,180,125.543599945737
"Paul",2011,181,144.288954579287
"Paul",2011,182,160.539961587756
"Paul",2011,183,177.186703796124
"Paul",2011,184,182.873308519407
"Paul",2011,185,191.148913775822
"Paul",2011,186,207.108984922543
"Paul",2011,187,204.916541348509
"Paul",2011,188,210.422695806942
"Paul",2011,189,205.16707192828
"Paul",2011,190,209.250697549746
"Paul",2011,191,209.176936738073
"Paul",2011,192,229.082855020465
"Paul",2011,193,226.074207436957
"Paul",2011,194,208.108732051608
"Paul",2011,195,193.027761804059
"Paul",2011,196,184.332753767118
"Paul",2011,197,188.764537762676
"Paul",2011,198,208.028456778133
"Paul",2011,199,226.527943747547
"Paul",2011,200,235.494903638313
"Paul",2011,201,242.344317942557
"Paul",2011,202,256.317960562666
"Paul",2011,203,254.958017128573
"Paul",2011,204,251.646324796312
"Paul",2011,205,238.350394821926
"Paul",2011,206,234.009086052071
"Paul",2011,207,226.451143718111
"Paul",2011,208,222.11933808991
"Paul",2011,209,218.443526593678
"Paul",2011,210,226.156636002048
"Paul",2011,211,235.680244448719
"Paul",2011,212,230.973109736515
"Paul",2011,213,237.022802164775
"Paul",2011,214,231.606441961299
"Paul",2011,215,223.704040279323
"Paul",2011,216,226.661108233818
"Paul",2011,217,234.514992354652
"Paul",2011,218,246.199218017287
"Paul",2011,219,244.051677427946
"Paul",2011,220,240.797573355737
"Paul",2011,221,227.207356536984
"Paul",2011,222,209.862190125768
"Paul",2011,223,202.838120367859
