"lake","year","doyCat","mean_temp","mean_chl","mean_pH","mean_doSat","mean_do","date"
"L",2008,134,12.7690882816709,2.62019546619118,6.60690225322917,97.885784391096,NA,2008-05-13
"L",2008,135,12.9231520677348,2.04456108706337,6.59874344652083,96.6684958876973,NA,2008-05-14
"L",2008,136,13.8503905123159,2.02990940130988,6.62311980710069,98.3701770604068,NA,2008-05-15
"L",2008,137,15.2512982276489,2.1286854582636,6.58427533274479,97.9452882933594,NA,2008-05-16
"L",2008,138,14.9451099965191,1.78928697788797,6.59864082821528,95.7235825260278,NA,2008-05-17
"L",2008,139,13.8735214221812,1.99088723998818,6.60556025709375,93.6230048037083,NA,2008-05-18
"L",2008,140,13.5837129195755,1.87158104607592,6.63928523217361,94.2982845457679,NA,2008-05-19
"L",2008,141,13.8778682353242,1.54208373938297,6.63613520071875,93.9113703655439,NA,2008-05-20
"L",2008,142,14.2037373216988,1.49567968259341,6.62756849878819,93.7770204600027,NA,2008-05-21
"L",2008,143,14.6132905275798,NA,NA,NA,NA,2008-05-22
"L",2008,144,15.4207700394358,1.71597756265683,6.56099440845486,93.9402154614946,NA,2008-05-23
"L",2008,145,16.4114519951947,1.59461914374921,6.52809185447569,94.3240823043028,NA,2008-05-24
"L",2008,146,17.1001352090744,1.74714204741682,6.4819601336875,93.3091408750613,NA,2008-05-25
"L",2008,147,17.017285817274,1.92985275093584,6.44096729788889,90.5096452386723,NA,2008-05-26
"L",2008,148,15.8142168010669,1.77080404660109,6.47782167868403,90.3357725572015,NA,2008-05-27
"L",2008,149,16.1605356705041,NA,NA,NA,NA,2008-05-28
"L",2008,150,17.4258998680887,NA,NA,NA,NA,2008-05-29
"L",2008,151,17.1745252630728,0.721156801382521,6.51078131212847,92.0399085496009,NA,2008-05-30
"L",2008,152,16.0610394848913,1.14314748447336,6.46934775239931,89.5814403777059,NA,2008-05-31
"L",2008,153,16.0306938623267,0.984852054620173,6.51440726049306,91.5512243590161,NA,2008-06-01
"L",2008,154,17.0618585135776,0.849668416592764,6.54214039130208,93.8619893791955,NA,2008-06-02
"L",2008,155,16.5702183812903,1.10010975531296,6.54063739729167,92.9774601325642,NA,2008-06-03
"L",2008,156,16.3727562051106,1.03813091100198,6.57788440627778,93.6424381936609,NA,2008-06-04
"L",2008,157,16.8865116129569,NA,NA,NA,NA,2008-06-05
"L",2008,158,17.6418151876503,2.4420387414821,6.607807879875,94.3385822681749,NA,2008-06-06
"L",2008,159,18.7539178459518,2.08600679551677,6.62848922673958,95.1217460819118,NA,2008-06-07
"L",2008,160,20.1433821382814,2.40488062061286,6.61142752145486,97.5507575847684,NA,2008-06-08
"L",2008,161,20.7372164762623,2.24097092641744,6.52426162967708,94.7803902135518,NA,2008-06-09
"L",2008,162,20.6015723769636,2.27015005748566,6.55324156125347,93.6594094019536,NA,2008-06-10
"L",2008,163,18.7374768886173,2.1753667081532,6.50861034409722,89.8628964716903,NA,2008-06-11
"L",2008,164,17.8109427797411,2.11449912910401,6.49543747686806,89.6841134670579,NA,2008-06-12
"L",2008,165,19.4136703330312,NA,NA,NA,NA,2008-06-13
"L",2008,166,19.967461146724,2.15772821649601,6.61087820614931,95.5544337847701,NA,2008-06-14
"L",2008,167,20.2612812884364,2.17822534553508,6.61350641843403,95.2604939195144,NA,2008-06-15
"L",2008,168,19.2278177825082,2.10309296098991,6.54964157196875,92.0292996297715,NA,2008-06-16
"L",2008,169,18.7917616470094,2.20719448764569,6.52070728252083,91.4645095572813,NA,2008-06-17
"L",2008,170,19.5855299334097,1.80195756931459,6.542467448125,93.0813220484843,NA,2008-06-18
"L",2008,171,20.1844834453278,NA,NA,NA,NA,2008-06-19
"L",2008,172,20.5801596312484,1.2909254547749,6.57391444444792,94.1553485885924,NA,2008-06-20
"L",2008,173,21.3521828273349,1.2888075433424,6.55561860936458,94.0746566996269,NA,2008-06-21
"L",2008,174,20.9839628031515,1.44252820209348,6.51742691945486,92.158919940417,NA,2008-06-22
