"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,81,85,88,8,2008-08-01,2008-08-05,2008-08-08,0.8631,1.2755,0.2157,6.9051,0.3773,0.7911,0.2208,3.0186,24.3515,24.7468,0.2251,194.8117,0.1708,0.2019,"R",2008,"R_2008"
2,145,149,152,8,2009-06-20,2009-06-24,2009-06-27,3.0061,4.5362,1.0767,24.0489,2.4512,3.99,1.0857,19.6093,25.1808,26.784,1.2573,201.4466,0.7771,0.9849,"R",2009,"R_2009"
3,199,201,204,6,2009-08-13,2009-08-15,2009-08-18,1.1018,1.8668,0.5218,6.6109,0.672,1.4394,0.5239,4.032,23.9831,24.7884,0.5612,143.8984,0.6841,0.5003,"R",2009,"R_2009"
4,225,233,243,19,2010-05-18,2010-05-26,2010-06-05,3.5341,5.7988,1.5185,67.1477,2.8279,5.0751,1.516,53.7309,21.0722,23.467,2.1651,400.3721,0.6106,0.4653,"R",2010,"R_2010"
5,260,261,265,6,2010-06-22,2010-06-23,2010-06-27,0.8656,1.3412,0.2724,5.1933,0.3157,0.7849,0.2723,1.8944,23.1657,23.5323,0.3407,138.9939,0.5446,0.1442,"R",2010,"R_2010"
6,272,277,281,10,2010-07-04,2010-07-09,2010-07-13,1.4968,2.3332,0.6492,14.9677,0.9338,1.7735,0.6511,9.3383,25.0463,25.9514,0.7285,250.4627,0.3074,0.3903,"R",2010,"R_2010"
7,285,287,289,5,2010-07-17,2010-07-19,2010-07-21,0.8723,1.0025,0.133,4.3613,0.3033,0.4332,0.1317,1.5165,24.7432,24.8769,0.1306,123.716,0.1093,0.1572,"R",2010,"R_2010"
8,294,312,315,22,2010-07-26,2010-08-13,2010-08-16,1.6322,3.6221,0.9857,35.9084,1.147,3.1986,1.0241,25.2335,25.0693,26.6784,0.7956,551.5255,0.1619,0.8794,"R",2010,"R_2010"
9,327,331,333,7,2010-08-28,2010-09-01,2010-09-03,1.8116,2.7837,0.8435,12.6814,1.2125,2.1711,0.8401,8.4876,23.093,23.933,0.8591,161.6508,0.4709,1.0751,"R",2010,"R_2010"
10,356,360,361,6,2011-06-04,2011-06-08,2011-06-09,2.4495,4.7065,1.5476,14.6972,1.8138,4.0809,1.5581,10.8826,22.0874,24.6126,1.7525,132.5245,1.0742,2.8776,"R",2011,"R_2011"
