"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,309,312,313,5,2010-08-10,2010-08-13,2010-08-14,3.186,3.6221,0.3993,15.9301,0.7014,1.1565,0.4244,3.507,26.305,26.6784,0.319,131.525,0.3699,0.4976,"R",2010,"R_2010"
2,549,552,554,6,2013-08-26,2013-08-29,2013-08-31,3.3834,4.2129,0.5097,20.3005,0.8563,1.667,0.5053,5.1377,24.9958,25.7684,0.5604,149.975,0.5787,0.5884,"R",2013,"R_2013"
3,804,806,808,5,2018-05-27,2018-05-29,2018-05-31,6.0365,6.6714,0.5772,30.1826,1.033,1.6668,0.5815,5.1652,24.0369,24.7125,0.693,120.1845,0.6878,0.8341,"R",2018,"R_2018"
1,549,552,555,7,2013-08-26,2013-08-29,2013-09-01,3.2283,4.0443,0.4943,22.5981,0.691,1.4984,0.5055,4.8368,24.6996,25.5248,0.6411,172.8971,0.53,0.6418,"L",2013,"L_2013"
2,804,807,808,5,2018-05-27,2018-05-30,2018-05-31,6.1507,6.7353,0.6108,30.7535,1.1472,1.7574,0.618,5.7361,24.0761,24.8707,0.7453,120.3804,0.5236,1.3833,"L",2018,"L_2018"
1,61,63,65,5,2013-07-16,2013-07-18,2013-07-20,4.3593,5.1486,0.7624,21.7967,1.0399,1.8244,0.7353,5.1997,27.6975,28.4907,0.7626,138.4873,0.7155,1.0198,"T",2013,"T_2013"
2,102,105,108,7,2013-08-26,2013-08-29,2013-09-01,3.5396,4.6475,0.6768,24.7774,1.0023,2.1016,0.6882,7.016,24.5587,25.6758,0.8135,171.9107,0.667,0.8027,"T",2013,"T_2013"
