"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,145,149,152,8,2009-06-20,2009-06-24,2009-06-27,3.0061,4.5362,1.0767,24.0489,2.1447,3.68,1.0787,17.1577,25.1808,26.784,1.2573,201.4466,0.7771,0.9849,"R",2009,"R_2009"
2,226,233,243,18,2010-05-19,2010-05-26,2010-06-05,3.6775,5.7988,1.4241,66.1944,2.7436,4.8445,1.4168,49.3848,21.3252,23.467,1.9173,383.8534,0.5894,0.4653,"R",2010,"R_2010"
3,275,277,281,7,2010-07-07,2010-07-09,2010-07-13,1.7755,2.3332,0.5713,12.4282,0.8149,1.3742,0.5769,5.7042,25.4191,25.9514,0.4987,177.9334,0.3678,0.3903,"R",2010,"R_2010"
4,302,312,315,14,2010-08-03,2010-08-13,2010-08-16,2.0889,3.6221,0.9707,29.2441,1.2965,2.8847,1.0058,18.1509,25.3475,26.6784,0.8845,354.8652,0.2488,0.8794,"R",2010,"R_2010"
5,327,331,332,6,2010-08-28,2010-09-01,2010-09-02,1.9869,2.7837,0.7718,11.9213,1.1879,1.9696,0.7588,7.1271,23.338,23.933,0.6175,140.0281,0.4709,0.9382,"R",2010,"R_2010"
6,357,360,361,5,2011-06-05,2011-06-08,2011-06-09,2.7857,4.7065,1.465,13.9284,1.9469,3.8725,1.4664,9.7346,22.5134,24.6126,1.5742,112.5669,1.0337,2.8776,"R",2011,"R_2011"
7,384,387,390,7,2011-07-02,2011-07-05,2011-07-08,1.8417,2.3839,0.3139,12.8916,0.9012,1.444,0.3171,6.3084,25.1642,25.7153,0.3109,176.1491,0.3458,0.3369,"R",2011,"R_2011"
8,399,403,422,24,2011-07-17,2011-07-21,2011-08-09,1.9435,3.7298,0.8292,46.645,1.0215,2.7535,0.8153,24.5157,25.6532,27.6044,0.8881,615.678,0.7265,0.1432,"R",2011,"R_2011"
9,428,430,434,7,2011-08-15,2011-08-17,2011-08-21,1.5856,2.0268,0.4259,11.0992,0.8804,1.3229,0.4276,6.1626,24.2749,24.8451,0.5474,169.9246,0.4215,0.302,"R",2011,"R_2011"
10,496,510,513,18,2013-07-04,2013-07-18,2013-07-21,2.2972,4.7765,1.2929,41.3491,1.3317,3.7932,1.2848,23.9707,25.9821,28.6459,1.3951,467.6781,0.2707,1.0045,"R",2013,"R_2013"
11,543,552,556,14,2013-08-20,2013-08-29,2013-09-02,2.222,4.2129,1.1681,31.1079,1.4629,3.4291,1.1493,20.4804,24.0483,25.7684,1.021,336.6765,0.416,0.7999,"R",2013,"R_2013"
12,570,576,583,14,2014-05-25,2014-05-31,2014-06-07,2.7029,4.3282,1.0449,37.8412,1.7971,3.4048,1.0316,25.1592,21.1879,22.7979,1.1974,296.6312,0.5794,0.4419,"R",2014,"R_2014"
13,752,755,757,6,2015-07-24,2015-07-27,2015-07-29,1.9827,2.9398,0.7233,11.896,1.0339,1.9946,0.7286,6.2034,25.797,26.7479,0.7111,154.7818,0.5807,0.7315,"R",2015,"R_2015"
14,773,775,778,6,2015-08-14,2015-08-16,2015-08-19,1.8593,2.7435,0.7259,11.1556,1.1504,2.0339,0.7219,6.9024,24.6669,25.593,0.8178,148.0015,0.6469,0.7138,"R",2015,"R_2015"
15,791,806,811,21,2015-09-01,2018-05-29,2018-06-03,2.8802,6.6714,2.1222,60.4837,1.9542,5.7357,2.1153,41.039,20.899,24.7125,2.7538,438.8788,0.006,1.1182,"R",2015,"R_2015"
16,826,838,857,32,2018-06-18,2018-06-30,2018-07-19,2.0195,3.6358,0.6044,64.6225,1.0988,2.7366,0.6038,35.1614,25.039,26.5259,1.0171,801.2479,0.22,0.1368,"R",2018,"R_2018"
