"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,145,149,152,8,2009-06-20,2009-06-24,2009-06-27,3.0061,4.5362,1.0767,24.0489,1.7595,3.2965,1.088,14.076,25.1808,26.784,1.2573,201.4466,0.7771,0.9849,"R",2009,"R_2009"
2,226,233,242,17,2010-05-19,2010-05-26,2010-06-04,3.8227,5.7988,1.3235,64.9854,2.4195,4.3908,1.3001,41.1317,21.3689,23.467,1.967,363.272,0.5894,0.4407,"R",2010,"R_2010"
3,275,277,279,5,2010-07-07,2010-07-09,2010-07-11,2.0668,2.3332,0.341,10.3339,0.7551,1.019,0.3396,3.7754,25.6643,25.9514,0.3298,128.3216,0.3678,0.4029,"R",2010,"R_2010"
4,307,312,314,8,2010-08-08,2010-08-13,2010-08-15,2.6839,3.6221,0.8293,21.4709,1.6224,2.589,0.8613,12.9794,25.8316,26.6784,0.7394,206.653,0.4652,0.7998,"R",2010,"R_2010"
5,328,331,332,5,2010-08-29,2010-09-01,2010-09-02,2.2182,2.7837,0.5859,11.0911,1.1466,1.7005,0.5773,5.733,23.5031,23.933,0.5217,117.5157,0.4884,0.9382,"R",2010,"R_2010"
6,357,360,361,5,2011-06-05,2011-06-08,2011-06-09,2.7857,4.7065,1.465,13.9284,1.4332,3.3606,1.4678,7.1658,22.5134,24.6126,1.5742,112.5669,1.0337,2.8776,"R",2011,"R_2011"
7,384,387,390,7,2011-07-02,2011-07-05,2011-07-08,1.8417,2.3839,0.3139,12.8916,0.5563,1.0941,0.319,3.8942,25.1642,25.7153,0.3109,176.1491,0.3458,0.3369,"R",2011,"R_2011"
8,399,403,408,10,2011-07-17,2011-07-21,2011-07-26,2.4803,3.7298,0.8819,24.803,1.168,2.4137,0.8781,11.6805,26.341,27.6044,0.8957,263.4099,0.7265,0.5049,"R",2011,"R_2011"
9,416,419,422,7,2011-08-03,2011-08-06,2011-08-09,1.8587,2.4603,0.458,13.0108,0.6938,1.2931,0.4658,4.8569,25.3237,25.9316,0.4513,177.2659,0.3548,0.4352,"R",2011,"R_2011"
10,428,430,433,6,2011-08-15,2011-08-17,2011-08-20,1.7044,2.0268,0.3147,10.2265,0.715,1.0363,0.3146,4.2897,24.4353,24.8451,0.379,146.6117,0.4215,0.2634,"R",2011,"R_2011"
11,497,500,501,5,2013-07-05,2013-07-08,2013-07-09,2.1474,2.6672,0.4077,10.7368,0.8434,1.357,0.3993,4.2172,25.6212,26.2128,0.5079,128.1059,0.3387,0.6499,"R",2013,"R_2013"
12,506,510,513,8,2013-07-14,2013-07-18,2013-07-21,3.2429,4.7765,1.2429,25.9436,1.9316,3.4634,1.2421,15.4529,27.0972,28.6459,1.2554,216.7776,0.7614,1.0045,"R",2013,"R_2013"
13,544,552,555,12,2013-08-21,2013-08-29,2013-09-01,2.4499,4.2129,1.1015,29.3986,1.4229,3.1649,1.0778,17.0749,24.2858,25.7684,0.8524,291.4296,0.3646,0.6936,"R",2013,"R_2013"
14,571,576,583,13,2014-05-26,2014-05-31,2014-06-07,2.8072,4.3282,1.009,36.4934,1.4008,2.8884,0.9835,18.2109,21.3951,22.7979,0.9499,278.1362,0.4086,0.4419,"R",2014,"R_2014"
15,753,755,757,5,2015-07-25,2015-07-27,2015-07-29,2.1598,2.9398,0.6471,10.7988,0.8672,1.6474,0.6487,4.3361,25.9663,26.7479,0.6458,129.8315,0.6679,0.7315,"R",2015,"R_2015"
16,773,775,777,5,2015-08-14,2015-08-16,2015-08-18,2.0885,2.7435,0.5144,10.4425,1.0889,1.7454,0.514,5.4442,24.9348,25.593,0.5459,124.6738,0.6469,0.6639,"R",2015,"R_2015"
17,791,794,795,5,2015-09-01,2015-09-04,2018-05-18,1.4883,1.9898,0.328,7.4416,0.3378,0.8555,0.322,1.689,21.3478,22.7019,2.3869,106.7389,0.3666,6e-04,"R",2015,"R_2015"
18,800,806,810,11,2018-05-23,2018-05-29,2018-06-02,4.477,6.6714,1.6686,49.2465,3.0567,5.2272,1.6526,33.624,22.256,24.7125,1.9522,244.8159,0.7511,1.1442,"R",2018,"R_2018"
19,826,838,857,32,2018-06-18,2018-06-30,2018-07-19,2.0195,3.6358,0.6044,64.6225,0.7415,2.4061,0.6107,23.7292,25.039,26.5259,1.0171,801.2479,0.22,0.1368,"R",2018,"R_2018"
20,879,883,890,12,2018-08-10,2018-08-14,2018-08-21,2.0822,3.0703,0.604,24.987,1.0683,2.0517,0.6045,12.8201,24.9506,26.0607,0.7368,299.4073,0.4806,0.309,"R",2018,"R_2018"
21,945,948,962,18,2019-07-03,2019-07-06,2019-07-20,2.0072,2.6956,0.4403,36.1293,0.7029,1.3958,0.4427,12.6522,25.6527,26.4501,0.4682,461.749,0.4118,0.0864,"R",2019,"R_2019"
22,976,978,981,6,2019-08-03,2019-08-05,2019-08-08,1.8924,2.4793,0.4449,11.3542,0.7177,1.2945,0.4243,4.3064,25.3843,26.0002,0.5107,152.3055,0.3878,0.4462,"R",2019,"R_2019"
1,145,149,152,8,2009-06-20,2009-06-24,2009-06-27,3.2744,4.8108,1.0385,26.1949,2.0277,3.5711,1.0491,16.222,25.3741,26.9836,1.2089,202.9926,0.7748,1.0093,"L",2009,"L_2009"
2,225,233,242,18,2010-05-18,2010-05-26,2010-06-04,4.0645,6.105,1.4437,73.1606,2.6654,4.697,1.4156,47.9769,21.4257,24.0045,2.1806,385.6627,0.5993,0.469,"L",2010,"L_2010"
3,275,276,279,5,2010-07-07,2010-07-08,2010-07-11,2.2728,2.6111,0.3608,11.3638,0.9611,1.3009,0.3602,4.8054,25.7953,26.0817,0.3338,128.9766,0.6359,0.339,"L",2010,"L_2010"
4,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.8351,3.6939,0.6658,19.846,1.7833,2.6608,0.6857,12.4834,25.8773,26.6752,0.617,181.1413,0.5168,0.8894,"L",2010,"L_2010"
5,328,330,332,5,2010-08-29,2010-08-31,2010-09-02,2.2452,2.8609,0.688,11.2259,1.1736,1.7897,0.6813,5.868,23.4551,24.074,0.6413,117.2757,0.745,0.6638,"L",2010,"L_2010"
6,357,360,361,5,2011-06-05,2011-06-08,2011-06-09,2.9396,5.0566,1.5277,14.6981,1.5871,3.7107,1.5305,7.9356,22.5923,24.8877,1.6343,112.9617,1.0693,3.1378,"L",2011,"L_2011"
7,384,387,390,7,2011-07-02,2011-07-05,2011-07-08,1.8244,2.3815,0.3436,12.7706,0.539,1.0917,0.3521,3.7732,25.0719,25.6379,0.3081,175.5031,0.302,0.334,"L",2011,"L_2011"
8,399,403,408,10,2011-07-17,2011-07-21,2011-07-26,2.5189,3.9266,0.9167,25.1894,1.2067,2.6105,0.913,12.0669,26.3046,27.7262,0.9304,263.0463,0.7612,0.5357,"L",2011,"L_2011"
9,416,419,422,7,2011-08-03,2011-08-06,2011-08-09,1.7315,2.3566,0.4663,12.1204,0.5666,1.1894,0.4743,3.9665,25.1215,25.7529,0.4586,175.8505,0.3528,0.4591,"L",2011,"L_2011"
10,429,430,433,5,2011-08-16,2011-08-17,2011-08-20,1.6241,1.9832,0.3126,8.1207,0.6383,0.9927,0.3059,3.1914,24.2419,24.6821,0.4305,121.2093,0.4013,0.302,"L",2011,"L_2011"
11,497,500,501,5,2013-07-05,2013-07-08,2013-07-09,2.169,2.6902,0.3909,10.8449,0.8651,1.38,0.3824,4.3254,25.5678,26.1608,0.4898,127.8391,0.3646,0.7223,"L",2013,"L_2013"
12,506,510,513,8,2013-07-14,2013-07-18,2013-07-21,3.2369,4.6171,1.1247,25.895,1.9255,3.304,1.1241,15.4043,27.0161,28.4115,1.1362,216.129,0.6785,0.9282,"L",2013,"L_2013"
13,547,552,555,9,2013-08-24,2013-08-29,2013-09-01,2.7998,4.0443,0.9606,25.1982,1.7593,2.9963,0.9469,15.8336,24.3914,25.5248,0.8322,219.5227,0.5705,0.6418,"L",2013,"L_2013"
14,571,577,583,13,2014-05-26,2014-06-01,2014-06-07,2.7192,4.4758,1.0618,35.349,1.3128,3.0491,1.039,17.0666,21.2321,23.0169,1.1051,276.0169,0.4334,0.5318,"L",2014,"L_2014"
15,753,755,757,5,2015-07-25,2015-07-27,2015-07-29,2.268,2.8664,0.5505,11.3402,0.9755,1.574,0.5554,4.8776,25.9996,26.5995,0.5417,129.998,0.619,0.532,"L",2015,"L_2015"
16,773,775,777,5,2015-08-14,2015-08-16,2015-08-18,2.1789,2.91,0.57,10.8946,1.1793,1.9119,0.5685,5.8963,24.9502,25.6845,0.6081,124.7508,0.6669,0.734,"L",2015,"L_2015"
17,799,807,810,12,2018-05-22,2018-05-30,2018-06-02,4.2942,6.7353,1.8379,51.5308,2.8771,5.2863,1.8194,34.525,21.8894,24.8707,2.2605,262.6732,0.6696,1.4615,"L",2018,"L_2018"
18,826,838,857,32,2018-06-18,2018-06-30,2018-07-19,2.0557,3.605,0.6108,65.7821,0.7778,2.3753,0.6137,24.8889,25.0002,26.4201,1.0608,800.0076,0.2053,0.1342,"L",2018,"L_2018"
19,879,883,889,11,2018-08-10,2018-08-14,2018-08-20,2.0938,2.9444,0.5072,23.0323,1.077,1.9258,0.5119,11.8465,24.9261,25.8598,0.5939,274.1874,0.4507,0.2674,"L",2018,"L_2018"
20,945,958,962,18,2019-07-03,2019-07-16,2019-07-20,2.1447,2.7335,0.4391,38.605,0.8404,1.4245,0.4393,15.128,25.7153,26.5054,0.5044,462.8748,0.107,0.2616,"L",2019,"L_2019"
21,976,978,981,6,2019-08-03,2019-08-05,2019-08-08,1.796,2.3144,0.4069,10.7757,0.6213,1.1296,0.3855,3.7279,25.2128,25.7603,0.4757,151.277,0.3632,0.4041,"L",2019,"L_2019"
1,49,53,54,6,2013-07-04,2013-07-08,2013-07-09,2.498,3.2859,0.6421,14.9882,1.1988,1.9757,0.6286,7.1926,25.4073,26.3043,0.7716,152.444,0.4581,0.7677,"T",2013,"T_2013"
2,59,63,66,8,2013-07-14,2013-07-18,2013-07-21,3.556,5.1486,1.2808,28.4483,2.2447,3.8355,1.2799,17.9577,26.883,28.4907,1.2937,215.0641,0.7944,1.0333,"T",2013,"T_2013"
