"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,81,85,88,8,2008-08-01,2008-08-05,2008-08-08,0.8631,1.2755,0.2157,6.9051,0.2782,0.6966,0.2246,2.2258,24.3515,24.7468,0.2251,194.8117,0.1708,0.2019,"R",2008,"R_2008"
2,145,149,152,8,2009-06-20,2009-06-24,2009-06-27,3.0061,4.5362,1.0767,24.0489,2.3802,3.9164,1.0822,19.0417,25.1808,26.784,1.2573,201.4466,0.7771,0.9849,"R",2009,"R_2009"
3,199,201,203,5,2009-08-13,2009-08-15,2009-08-17,1.228,1.8668,0.4701,6.1399,0.729,1.3694,0.4715,3.6452,24.1463,24.7884,0.4402,120.7316,0.6841,0.4398,"R",2009,"R_2009"
4,225,233,243,19,2010-05-18,2010-05-26,2010-06-05,3.5341,5.7988,1.5185,67.1477,2.774,5.023,1.5155,52.7061,21.0722,23.467,2.1651,400.3721,0.6106,0.4653,"R",2010,"R_2010"
5,261,261,265,5,2010-06-23,2010-06-23,2010-06-27,0.9216,1.3412,0.2631,4.608,0.2995,0.7173,0.2618,1.4975,23.2822,23.5323,0.2077,116.4112,0.7558,0.1442,"R",2010,"R_2010"
6,272,277,281,10,2010-07-04,2010-07-09,2010-07-13,1.4968,2.3332,0.6492,14.9677,0.8255,1.6694,0.6534,8.255,25.0463,25.9514,0.7285,250.4627,0.3074,0.3903,"R",2010,"R_2010"
7,294,312,315,22,2010-07-26,2010-08-13,2010-08-16,1.6322,3.6221,0.9857,35.9084,1.0496,3.1207,1.0359,23.0913,25.0693,26.6784,0.7956,551.5255,0.1619,0.8794,"R",2010,"R_2010"
8,327,331,333,7,2010-08-28,2010-09-01,2010-09-03,1.8116,2.7837,0.8435,12.6814,1.1722,2.1286,0.839,8.2057,23.093,23.933,0.8591,161.6508,0.4709,1.0751,"R",2010,"R_2010"
9,356,360,361,6,2011-06-04,2011-06-08,2011-06-09,2.4495,4.7065,1.5476,14.6972,1.7528,4.0177,1.5544,10.517,22.0874,24.6126,1.7525,132.5245,1.0742,2.8776,"R",2011,"R_2011"
10,384,393,394,11,2011-07-02,2011-07-11,2011-07-12,1.7684,2.7502,0.5249,19.4527,1.1005,2.0775,0.5227,12.1051,25.2195,26.4522,0.5398,277.414,0.166,1.0858,"R",2011,"R_2011"
