"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,146,149,152,7,2009-06-21,2009-06-24,2009-06-27,3.2095,4.5362,0.9831,22.4663,1.245,2.5687,0.9889,8.7153,25.4475,26.784,1.0864,178.1328,0.7816,0.9849,"R",2009,"R_2009"
2,227,233,241,15,2010-05-20,2010-05-26,2010-06-03,4.0778,5.7988,1.1863,61.1668,1.9125,3.6673,1.1141,28.6882,21.6315,23.467,1.8244,324.4727,0.5587,0.3792,"R",2010,"R_2010"
3,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.9038,3.6221,0.5922,20.3268,1.4903,2.228,0.6107,10.4319,26.021,26.6784,0.5505,182.1471,0.4547,0.7998,"R",2010,"R_2010"
4,400,403,406,7,2011-07-18,2011-07-21,2011-07-24,2.9245,3.7298,0.6279,20.4714,1.1599,1.9569,0.6118,8.1192,26.7932,27.6044,0.635,187.5525,0.5,0.5725,"R",2011,"R_2011"
5,417,419,421,5,2011-08-04,2011-08-06,2011-08-08,2.0683,2.4603,0.35,10.3414,0.5521,0.9428,0.3643,2.7606,25.5363,25.9316,0.3104,127.6813,0.4083,0.3063,"R",2011,"R_2011"
6,429,430,433,5,2011-08-16,2011-08-17,2011-08-20,1.7754,2.0268,0.2932,8.8772,0.4357,0.6835,0.2877,2.1783,24.4682,24.8451,0.4141,122.3408,0.2362,0.2634,"R",2011,"R_2011"
7,507,510,512,6,2013-07-15,2013-07-18,2013-07-20,3.7669,4.7765,0.9191,22.6017,1.9736,2.9823,0.9174,11.8419,27.6261,28.6459,0.9291,165.7569,0.7798,0.985,"R",2013,"R_2013"
8,548,552,555,8,2013-08-25,2013-08-29,2013-09-01,3.0521,4.2129,0.8028,24.4165,1.6584,2.8155,0.7969,13.267,24.6592,25.7684,0.7844,197.2739,0.6518,0.6936,"R",2013,"R_2013"
9,571,576,578,8,2014-05-26,2014-05-31,2014-06-02,3.4185,4.3282,0.7528,27.348,1.1502,1.995,0.6919,9.2017,21.5178,22.7979,1.1814,172.1428,0.4086,0.5168,"R",2014,"R_2014"
10,773,775,777,5,2015-08-14,2015-08-16,2015-08-18,2.0885,2.7435,0.5144,10.4425,0.7332,1.3921,0.5151,3.6662,24.9348,25.593,0.5459,124.6738,0.6469,0.6639,"R",2015,"R_2015"
