"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,145,149,152,8,2009-06-20,2009-06-24,2009-06-27,3.0061,4.5362,1.0767,24.0489,2.2382,3.7736,1.0803,17.9057,25.1808,26.784,1.2573,201.4466,0.7771,0.9849,"R",2009,"R_2009"
2,226,233,243,18,2010-05-19,2010-05-26,2010-06-05,3.6775,5.7988,1.4241,66.1944,2.7733,4.8736,1.4162,49.9192,21.3252,23.467,1.9173,383.8534,0.5894,0.4653,"R",2010,"R_2010"
3,274,277,281,8,2010-07-06,2010-07-09,2010-07-13,1.6694,2.3332,0.6081,13.355,0.8254,1.4973,0.6144,6.6033,25.2835,25.9514,0.6,202.2684,0.4306,0.3903,"R",2010,"R_2010"
4,302,312,315,14,2010-08-03,2010-08-13,2010-08-16,2.0889,3.6221,0.9707,29.2441,1.41,2.9933,1.0012,19.7397,25.3475,26.6784,0.8845,354.8652,0.2488,0.8794,"R",2010,"R_2010"
5,327,331,332,6,2010-08-28,2010-09-01,2010-09-02,1.9869,2.7837,0.7718,11.9213,1.2732,2.0481,0.7532,7.6389,23.338,23.933,0.6175,140.0281,0.4709,0.9382,"R",2010,"R_2010"
6,357,360,361,5,2011-06-05,2011-06-08,2011-06-09,2.7857,4.7065,1.465,13.9284,1.9917,3.9165,1.4656,9.9584,22.5134,24.6126,1.5742,112.5669,1.0337,2.8776,"R",2011,"R_2011"
7,384,393,394,11,2011-07-02,2011-07-11,2011-07-12,1.7684,2.7502,0.5249,19.4527,0.9315,1.9004,0.5232,10.2462,25.2195,26.4522,0.5398,277.414,0.166,1.0858,"R",2011,"R_2011"
8,399,403,422,24,2011-07-17,2011-07-21,2011-08-09,1.9435,3.7298,0.8292,46.645,1.1356,2.8619,0.8146,27.2549,25.6532,27.6044,0.8881,615.678,0.7265,0.1432,"R",2011,"R_2011"
9,428,430,434,7,2011-08-15,2011-08-17,2011-08-21,1.5856,2.0268,0.4259,11.0992,0.9753,1.419,0.4288,6.8268,24.2749,24.8451,0.5474,169.9246,0.4215,0.302,"R",2011,"R_2011"
10,440,446,447,8,2011-08-27,2011-09-02,2011-09-03,1.1152,2.0637,0.4874,8.9219,0.3986,1.3082,0.4584,3.189,22.4619,23.0716,0.3261,179.6952,0.2119,1.0572,"R",2011,"R_2011"
