"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,145,149,152,8,2009-06-20,2009-06-24,2009-06-27,3.0061,4.5362,1.0767,24.0489,1.5236,3.0637,1.093,12.1887,25.1808,26.784,1.2573,201.4466,0.7771,0.9849,"R",2009,"R_2009"
2,226,233,242,17,2010-05-19,2010-05-26,2010-06-04,3.8227,5.7988,1.3235,64.9854,2.1897,4.1679,1.2807,37.2254,21.3689,23.467,1.967,363.272,0.5894,0.4407,"R",2010,"R_2010"
3,275,277,279,5,2010-07-07,2010-07-09,2010-07-11,2.0668,2.3332,0.341,10.3339,0.5806,0.8436,0.3372,2.9032,25.6643,25.9514,0.3298,128.3216,0.3678,0.4029,"R",2010,"R_2010"
4,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.9038,3.6221,0.5922,20.3268,1.7171,2.4567,0.6122,12.0198,26.021,26.6784,0.5505,182.1471,0.4547,0.7998,"R",2010,"R_2010"
5,328,331,332,5,2010-08-29,2010-09-01,2010-09-02,2.2182,2.7837,0.5859,11.0911,1.0186,1.5729,0.5776,5.093,23.5031,23.933,0.5217,117.5157,0.4884,0.9382,"R",2010,"R_2010"
6,384,387,388,5,2011-07-02,2011-07-05,2011-07-06,1.9737,2.3839,0.2664,9.8685,0.5107,0.907,0.2544,2.5533,25.2201,25.7153,0.3593,126.1004,0.3458,0.4285,"R",2011,"R_2011"
7,400,403,407,8,2011-07-18,2011-07-21,2011-07-25,2.757,3.7298,0.75,22.0556,1.2847,2.2524,0.744,10.2776,26.6221,27.6044,0.7615,212.977,0.5,0.4985,"R",2011,"R_2011"
8,417,419,422,6,2011-08-04,2011-08-06,2011-08-09,1.9463,2.4603,0.4328,11.6778,0.6586,1.1628,0.4288,3.9517,25.3869,25.9316,0.4592,152.3215,0.4083,0.4352,"R",2011,"R_2011"
9,428,430,433,6,2011-08-15,2011-08-17,2011-08-20,1.7044,2.0268,0.3147,10.2265,0.5843,0.9059,0.3149,3.506,24.4353,24.8451,0.379,146.6117,0.4215,0.2634,"R",2011,"R_2011"
10,497,500,501,5,2013-07-05,2013-07-08,2013-07-09,2.1474,2.6672,0.4077,10.7368,0.6604,1.1762,0.4035,3.302,25.6212,26.2128,0.5079,128.1059,0.3387,0.6499,"R",2013,"R_2013"
