"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,81,85,89,9,2008-08-01,2008-08-05,2008-08-09,0.8133,1.2755,0.2512,7.3195,0.4347,0.8927,0.2477,3.9127,24.2745,24.7468,0.3125,218.4703,0.1708,0.2378,"R",2008,"R_2008"
2,145,149,152,8,2009-06-20,2009-06-24,2009-06-27,3.0061,4.5362,1.0767,24.0489,2.5135,4.0503,1.088,20.108,25.1808,26.784,1.2573,201.4466,0.7771,0.9849,"R",2009,"R_2009"
3,199,201,204,6,2009-08-13,2009-08-15,2009-08-18,1.1018,1.8668,0.5218,6.6109,0.7249,1.4931,0.5242,4.3493,23.9831,24.7884,0.5612,143.8984,0.6841,0.5003,"R",2009,"R_2009"
4,225,233,244,20,2010-05-18,2010-05-26,2010-06-06,3.3882,5.7988,1.6156,67.7644,2.7189,5.1042,1.6041,54.3789,21.0271,23.467,2.117,420.5421,0.6106,0.4617,"R",2010,"R_2010"
5,260,261,265,6,2010-06-22,2010-06-23,2010-06-27,0.8656,1.3412,0.2724,5.1933,0.381,0.8452,0.2716,2.2857,23.1657,23.5323,0.3407,138.9939,0.5446,0.1442,"R",2010,"R_2010"
6,272,277,289,18,2010-07-04,2010-07-09,2010-07-21,1.1162,2.3332,0.6844,20.0916,0.6761,1.8882,0.6794,12.1701,24.8011,25.9514,0.6489,446.4206,0.3074,0.1379,"R",2010,"R_2010"
7,294,312,315,22,2010-07-26,2010-08-13,2010-08-16,1.6322,3.6221,0.9857,35.9084,1.2491,3.2616,1.0002,27.4801,25.0693,26.6784,0.7956,551.5255,0.1619,0.8794,"R",2010,"R_2010"
8,326,331,333,8,2010-08-27,2010-09-01,2010-09-03,1.6475,2.7837,0.9085,13.18,1.1023,2.219,0.8955,8.8185,22.9942,23.933,0.8431,183.9533,0.4672,1.0751,"R",2010,"R_2010"
9,356,360,361,6,2011-06-04,2011-06-08,2011-06-09,2.4495,4.7065,1.5476,14.6972,1.8635,4.1305,1.5579,11.1812,22.0874,24.6126,1.7525,132.5245,1.0742,2.8776,"R",2011,"R_2011"
10,384,393,395,12,2011-07-02,2011-07-11,2011-07-13,1.6609,2.7502,0.6239,19.9303,1.2017,2.315,0.6166,14.4209,25.1389,26.4522,0.5854,301.6674,0.166,1.1237,"R",2011,"R_2011"
11,399,403,435,37,2011-07-17,2011-07-21,2011-08-22,1.6579,3.7298,0.8443,61.344,1.2624,3.3154,0.837,46.7075,25.0579,27.6044,1.1359,927.1428,0.7265,0.1025,"R",2011,"R_2011"
12,439,446,447,9,2011-08-26,2011-09-02,2011-09-03,1.0554,2.0637,0.4899,9.499,0.5179,1.4824,0.4581,4.6614,22.4659,23.0716,0.3053,202.1933,0.2124,1.0572,"R",2011,"R_2011"
13,486,488,490,5,2013-06-24,2013-06-26,2013-06-28,2.1623,3.2422,0.95,10.8115,1.6868,2.7707,0.9551,8.4339,24.6362,25.7206,1.0363,123.1809,1.2809,0.8947,"R",2013,"R_2013"
14,496,510,514,19,2013-07-04,2013-07-18,2013-07-22,2.2213,4.7765,1.2992,42.2049,1.7825,4.3575,1.3072,33.8667,25.916,28.6459,1.386,492.4044,0.2707,0.9895,"R",2013,"R_2013"
15,543,552,556,14,2013-08-20,2013-08-29,2013-09-02,2.222,4.2129,1.1681,31.1079,1.7325,3.6895,1.1408,24.2553,24.0483,25.7684,1.021,336.6765,0.416,0.7999,"R",2013,"R_2013"
16,570,576,583,14,2014-05-25,2014-05-31,2014-06-07,2.7029,4.3282,1.0449,37.8412,2.0573,3.6669,1.0304,28.8028,21.1879,22.7979,1.1974,296.6312,0.5794,0.4419,"R",2014,"R_2014"
17,751,755,758,8,2015-07-23,2015-07-27,2015-07-30,1.6601,2.9398,0.8548,13.2804,1.2478,2.5265,0.8547,9.9826,25.4719,26.7479,0.8517,203.7755,0.5736,0.6979,"R",2015,"R_2015"
18,772,775,778,7,2015-08-13,2015-08-16,2015-08-19,1.6736,2.7435,0.8248,11.7155,1.293,2.3633,0.8258,9.0507,24.5168,25.593,0.8456,171.6177,0.746,0.7138,"R",2015,"R_2015"
19,791,806,811,21,2015-09-01,2018-05-29,2018-06-03,2.8802,6.6714,2.1222,60.4837,2.2153,6.0021,2.1171,46.522,20.899,24.7125,2.7538,438.8788,0.006,1.1182,"R",2015,"R_2015"
20,826,838,858,33,2018-06-18,2018-06-30,2018-07-20,1.9742,3.6358,0.6491,65.1496,1.5084,3.1572,0.6422,49.7768,25.0197,26.5259,1.0072,825.6508,0.22,0.1845,"R",2018,"R_2018"
21,878,883,891,14,2018-08-09,2018-08-14,2018-08-22,1.8567,3.0703,0.7984,25.9939,1.4729,2.7044,0.8108,20.6202,24.7188,26.0607,0.9175,346.0635,0.51,0.5938,"R",2018,"R_2018"
22,919,920,923,5,2019-06-07,2019-06-08,2019-06-11,1.7379,2.8906,1.0038,8.6895,1.1711,2.3146,0.9935,5.8555,21.8086,22.7967,0.8979,109.0428,1.4966,0.7612,"R",2019,"R_2019"
