"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,146,149,152,7,2009-06-21,2009-06-24,2009-06-27,3.2095,4.5362,0.9831,22.4663,1.6027,2.9332,0.9928,11.2192,25.4475,26.784,1.0864,178.1328,0.7816,0.9849,"R",2009,"R_2009"
2,226,233,242,17,2010-05-19,2010-05-26,2010-06-04,3.8227,5.7988,1.3235,64.9854,2.0288,4.0086,1.2704,34.4895,21.3689,23.467,1.967,363.272,0.5894,0.4407,"R",2010,"R_2010"
3,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.9038,3.6221,0.5922,20.3268,1.6458,2.3836,0.6118,11.5207,26.021,26.6784,0.5505,182.1471,0.4547,0.7998,"R",2010,"R_2010"
4,328,331,332,5,2010-08-29,2010-09-01,2010-09-02,2.2182,2.7837,0.5859,11.0911,0.9501,1.5048,0.5776,4.7506,23.5031,23.933,0.5217,117.5157,0.4884,0.9382,"R",2010,"R_2010"
5,384,387,388,5,2011-07-02,2011-07-05,2011-07-06,1.9737,2.3839,0.2664,9.8685,0.396,0.7957,0.2576,1.9798,25.2201,25.7153,0.3593,126.1004,0.3458,0.4285,"R",2011,"R_2011"
6,400,403,407,8,2011-07-18,2011-07-21,2011-07-25,2.757,3.7298,0.75,22.0556,1.2014,2.1653,0.739,9.6108,26.6221,27.6044,0.7615,212.977,0.5,0.4985,"R",2011,"R_2011"
7,417,419,422,6,2011-08-04,2011-08-06,2011-08-09,1.9463,2.4603,0.4328,11.6778,0.5887,1.0925,0.4287,3.5325,25.3869,25.9316,0.4592,152.3215,0.4083,0.4352,"R",2011,"R_2011"
8,428,430,433,6,2011-08-15,2011-08-17,2011-08-20,1.7044,2.0268,0.3147,10.2265,0.5146,0.8364,0.3151,3.0874,24.4353,24.8451,0.379,146.6117,0.4215,0.2634,"R",2011,"R_2011"
9,497,500,501,5,2013-07-05,2013-07-08,2013-07-09,2.1474,2.6672,0.4077,10.7368,0.5551,1.0725,0.4069,2.7757,25.6212,26.2128,0.5079,128.1059,0.3387,0.6499,"R",2013,"R_2013"
10,506,510,513,8,2013-07-14,2013-07-18,2013-07-21,3.2429,4.7765,1.2429,25.9436,1.6766,3.2087,1.2416,13.413,27.0972,28.6459,1.2554,216.7776,0.7614,1.0045,"R",2013,"R_2013"
11,548,552,555,8,2013-08-25,2013-08-29,2013-09-01,3.0521,4.2129,0.8028,24.4165,1.8126,2.9689,0.7961,14.5007,24.6592,25.7684,0.7844,197.2739,0.6518,0.6936,"R",2013,"R_2013"
12,571,576,579,9,2014-05-26,2014-05-31,2014-06-03,3.2782,4.3282,0.8204,29.5038,1.4092,2.4256,0.8014,12.6832,21.4779,22.7979,1.1116,193.3007,0.4086,0.7167,"R",2014,"R_2014"
13,773,775,777,5,2015-08-14,2015-08-16,2015-08-18,2.0885,2.7435,0.5144,10.4425,0.8878,1.545,0.5143,4.4388,24.9348,25.593,0.5459,124.6738,0.6469,0.6639,"R",2015,"R_2015"
14,800,806,810,11,2018-05-23,2018-05-29,2018-06-02,4.477,6.6714,1.6686,49.2465,2.6443,4.7959,1.6386,29.0873,22.256,24.7125,1.9522,244.8159,0.7511,1.1442,"R",2018,"R_2018"
15,828,831,832,5,2018-06-20,2018-06-23,2018-06-24,1.9185,2.1883,0.1714,9.5925,0.2848,0.5693,0.1893,1.4241,23.9119,24.3131,0.3515,119.5596,0.1433,0.3196,"R",2018,"R_2018"
16,836,838,849,14,2018-06-28,2018-06-30,2018-07-11,2.4973,3.6358,0.4765,34.9618,0.9241,2.0883,0.4824,12.9369,25.7528,26.5259,0.5345,360.5397,0.849,0.1804,"R",2018,"R_2018"
17,879,883,889,11,2018-08-10,2018-08-14,2018-08-20,2.1805,3.0703,0.5233,23.9856,0.9604,1.848,0.532,10.564,25.0878,26.0607,0.5906,275.9657,0.4806,0.2673,"R",2018,"R_2018"
18,945,948,949,5,2019-07-03,2019-07-06,2019-07-07,2.2285,2.6956,0.451,11.1423,0.6436,1.1012,0.4468,3.2179,25.5555,26.1038,0.4838,127.7774,0.4118,0.7462,"R",2019,"R_2019"
19,957,959,962,6,2019-07-15,2019-07-17,2019-07-20,2.1967,2.5896,0.3489,13.1805,0.6299,1.0233,0.3501,3.7794,26.0559,26.4501,0.3372,156.3357,0.26,0.3276,"R",2019,"R_2019"
20,976,978,980,5,2019-08-03,2019-08-05,2019-08-07,2.0319,2.4793,0.3183,10.1595,0.6501,1.0947,0.3116,3.2506,25.5498,26.0002,0.3472,127.749,0.3878,0.3918,"R",2019,"R_2019"
1,145,149,152,8,2009-06-20,2009-06-24,2009-06-27,3.2744,4.8108,1.0385,26.1949,1.6607,3.2078,1.0553,13.2853,25.3741,26.9836,1.2089,202.9926,0.7748,1.0093,"L",2009,"L_2009"
2,226,233,242,17,2010-05-19,2010-05-26,2010-06-04,4.2157,6.105,1.3331,71.667,2.4218,4.3148,1.2843,41.1711,21.687,24.0045,1.9356,368.6787,0.5523,0.469,"L",2010,"L_2010"
3,275,276,279,5,2010-07-07,2010-07-08,2010-07-11,2.2728,2.6111,0.3608,11.3638,0.6861,1.0164,0.3544,3.4307,25.7953,26.0817,0.3338,128.9766,0.6359,0.339,"L",2010,"L_2010"
4,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.8351,3.6939,0.6658,19.846,1.5771,2.4554,0.6865,11.0398,25.8773,26.6752,0.617,181.1413,0.5168,0.8894,"L",2010,"L_2010"
5,384,387,388,5,2011-07-02,2011-07-05,2011-07-06,1.9707,2.3815,0.2887,9.8535,0.393,0.7933,0.285,1.9648,25.1421,25.6379,0.347,125.7104,0.302,0.4439,"L",2011,"L_2011"
6,400,403,407,8,2011-07-18,2011-07-21,2011-07-25,2.8032,3.9266,0.7866,22.4257,1.2476,2.3621,0.7761,9.9808,26.5934,27.7262,0.7977,212.7471,0.5619,0.5368,"L",2011,"L_2011"
7,429,430,433,5,2011-08-16,2011-08-17,2011-08-20,1.6241,1.9832,0.3126,8.1207,0.4382,0.7928,0.306,2.1911,24.2419,24.6821,0.4305,121.2093,0.4013,0.302,"L",2011,"L_2011"
