"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,145,149,152,8,2009-06-20,2009-06-24,2009-06-27,3.0061,4.5362,1.0767,24.0489,2.2011,3.7355,1.0787,17.6089,25.1808,26.784,1.2573,201.4466,0.7771,0.9849,"R",2009,"R_2009"
2,226,233,243,18,2010-05-19,2010-05-26,2010-06-05,3.6775,5.7988,1.4241,66.1944,2.7639,4.8643,1.4171,49.7507,21.3252,23.467,1.9173,383.8534,0.5894,0.4653,"R",2010,"R_2010"
3,274,277,281,8,2010-07-06,2010-07-09,2010-07-13,1.6694,2.3332,0.6081,13.355,0.7748,1.4442,0.613,6.1982,25.2835,25.9514,0.6,202.2684,0.4306,0.3903,"R",2010,"R_2010"
4,302,312,315,14,2010-08-03,2010-08-13,2010-08-16,2.0889,3.6221,0.9707,29.2441,1.3539,2.9394,1.0037,18.9545,25.3475,26.6784,0.8845,354.8652,0.2488,0.8794,"R",2010,"R_2010"
5,327,331,332,6,2010-08-28,2010-09-01,2010-09-02,1.9869,2.7837,0.7718,11.9213,1.2282,2.0058,0.7552,7.369,23.338,23.933,0.6175,140.0281,0.4709,0.9382,"R",2010,"R_2010"
6,357,360,361,5,2011-06-05,2011-06-08,2011-06-09,2.7857,4.7065,1.465,13.9284,1.9798,3.9047,1.4657,9.8991,22.5134,24.6126,1.5742,112.5669,1.0337,2.8776,"R",2011,"R_2011"
7,384,387,390,7,2011-07-02,2011-07-05,2011-07-08,1.8417,2.3839,0.3139,12.8916,0.9643,1.5043,0.3151,6.7498,25.1642,25.7153,0.3109,176.1491,0.3458,0.3369,"R",2011,"R_2011"
8,399,403,422,24,2011-07-17,2011-07-21,2011-08-09,1.9435,3.7298,0.8292,46.645,1.0799,2.8102,0.8151,25.9181,25.6532,27.6044,0.8881,615.678,0.7265,0.1432,"R",2011,"R_2011"
9,428,430,434,7,2011-08-15,2011-08-17,2011-08-21,1.5856,2.0268,0.4259,11.0992,0.9293,1.3728,0.4284,6.5053,24.2749,24.8451,0.5474,169.9246,0.4215,0.302,"R",2011,"R_2011"
10,440,446,447,8,2011-08-27,2011-09-02,2011-09-03,1.1152,2.0637,0.4874,8.9219,0.3542,1.2666,0.4604,2.8339,22.4619,23.0716,0.3261,179.6952,0.2119,1.0572,"R",2011,"R_2011"
11,486,488,490,5,2013-06-24,2013-06-26,2013-06-28,2.1623,3.2422,0.95,10.8115,1.3504,2.4334,0.9481,6.7519,24.6362,25.7206,1.0363,123.1809,1.2809,0.8947,"R",2013,"R_2013"
12,496,510,513,18,2013-07-04,2013-07-18,2013-07-21,2.2972,4.7765,1.2929,41.3491,1.3924,3.8517,1.2836,25.0628,25.9821,28.6459,1.3951,467.6781,0.2707,1.0045,"R",2013,"R_2013"
13,543,552,556,14,2013-08-20,2013-08-29,2013-09-02,2.222,4.2129,1.1681,31.1079,1.5069,3.4739,1.1482,21.096,24.0483,25.7684,1.021,336.6765,0.416,0.7999,"R",2013,"R_2013"
14,570,576,583,14,2014-05-25,2014-05-31,2014-06-07,2.7029,4.3282,1.0449,37.8412,1.8218,3.4265,1.0291,25.5053,21.1879,22.7979,1.1974,296.6312,0.5794,0.4419,"R",2014,"R_2014"
15,752,755,757,6,2015-07-24,2015-07-27,2015-07-29,1.9827,2.9398,0.7233,11.896,1.0899,2.0506,0.7289,6.5394,25.797,26.7479,0.7111,154.7818,0.5807,0.7315,"R",2015,"R_2015"
16,773,775,778,6,2015-08-14,2015-08-16,2015-08-19,1.8593,2.7435,0.7259,11.1556,1.201,2.0843,0.7229,7.2058,24.6669,25.593,0.8178,148.0015,0.6469,0.7138,"R",2015,"R_2015"
17,791,806,811,21,2015-09-01,2018-05-29,2018-06-03,2.8802,6.6714,2.1222,60.4837,1.9759,5.7573,2.1154,41.4947,20.899,24.7125,2.7538,438.8788,0.006,1.1182,"R",2015,"R_2015"
18,826,838,857,32,2018-06-18,2018-06-30,2018-07-19,2.0195,3.6358,0.6044,64.6225,1.1585,2.7974,0.6054,37.0707,25.039,26.5259,1.0171,801.2479,0.22,0.1368,"R",2018,"R_2018"
19,879,883,890,12,2018-08-10,2018-08-14,2018-08-21,2.0822,3.0703,0.604,24.987,1.4099,2.399,0.6075,16.9194,24.9506,26.0607,0.7368,299.4073,0.4806,0.309,"R",2018,"R_2018"
20,945,948,971,27,2019-07-03,2019-07-06,2019-07-29,1.7021,2.6956,0.5839,45.9573,0.8005,1.812,0.5843,21.6143,25.41,26.4501,0.535,686.0712,0.4118,0.0858,"R",2019,"R_2019"
21,975,978,981,7,2019-08-02,2019-08-05,2019-08-08,1.7934,2.4793,0.4832,12.554,0.9935,1.6775,0.4796,6.9546,25.3081,26.0002,0.5079,177.1568,0.466,0.4462,"R",2019,"R_2019"
1,145,149,152,8,2009-06-20,2009-06-24,2009-06-27,3.2744,4.8108,1.0385,26.1949,2.4694,4.0101,1.0408,19.7549,25.3741,26.9836,1.2089,202.9926,0.7748,1.0093,"L",2009,"L_2009"
2,225,233,243,19,2010-05-18,2010-05-26,2010-06-05,3.9124,6.105,1.5518,74.3351,2.9962,5.1705,1.5471,56.9282,21.3755,24.0045,2.1304,406.1346,0.5993,0.4993,"L",2010,"L_2010"
3,272,276,281,10,2010-07-04,2010-07-08,2010-07-13,1.7169,2.6111,0.6491,17.1685,0.8255,1.7261,0.6519,8.2551,25.1914,26.0817,0.6852,251.9136,0.336,0.3703,"L",2010,"L_2010"
4,307,312,314,8,2010-08-08,2010-08-13,2010-08-15,2.5928,3.6939,0.9218,20.7426,1.8897,3.0112,0.9453,15.1177,25.6656,26.6752,0.8277,205.3247,0.5333,0.8894,"L",2010,"L_2010"
5,327,330,332,6,2010-08-28,2010-08-31,2010-09-02,2,2.8609,0.8598,12.0002,1.2413,2.0987,0.8451,7.448,23.2762,24.074,0.7219,139.6572,0.6905,0.6638,"L",2010,"L_2010"
6,356,360,361,6,2011-06-04,2011-06-08,2011-06-09,2.621,5.0566,1.5736,15.7261,1.8096,4.2548,1.5809,10.8576,22.1839,24.8877,1.7713,133.1035,1.0918,3.1378,"L",2011,"L_2011"
7,384,393,394,11,2011-07-02,2011-07-11,2011-07-12,1.7876,2.8871,0.5368,19.6636,0.9026,1.9852,0.5367,9.9289,25.1636,26.5141,0.5554,276.8,0.1645,1.1814,"L",2011,"L_2011"
