"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,145,149,152,8,2009-06-20,2009-06-24,2009-06-27,3.0061,4.5362,1.0767,24.0489,1.6412,3.1801,1.0908,13.1292,25.1808,26.784,1.2573,201.4466,0.7771,0.9849,"R",2009,"R_2009"
2,226,233,242,17,2010-05-19,2010-05-26,2010-06-04,3.8227,5.7988,1.3235,64.9854,2.3144,4.2868,1.2904,39.3442,21.3689,23.467,1.967,363.272,0.5894,0.4407,"R",2010,"R_2010"
3,275,277,279,5,2010-07-07,2010-07-09,2010-07-11,2.0668,2.3332,0.341,10.3339,0.6692,0.9334,0.3386,3.3458,25.6643,25.9514,0.3298,128.3216,0.3678,0.4029,"R",2010,"R_2010"
4,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.9038,3.6221,0.5922,20.3268,1.7874,2.525,0.612,12.5116,26.021,26.6784,0.5505,182.1471,0.4547,0.7998,"R",2010,"R_2010"
5,328,331,332,5,2010-08-29,2010-09-01,2010-09-02,2.2182,2.7837,0.5859,11.0911,1.0866,1.6408,0.5782,5.4332,23.5031,23.933,0.5217,117.5157,0.4884,0.9382,"R",2010,"R_2010"
6,384,387,390,7,2011-07-02,2011-07-05,2011-07-08,1.8417,2.3839,0.3139,12.8916,0.4652,1.0017,0.3183,3.2567,25.1642,25.7153,0.3109,176.1491,0.3458,0.3369,"R",2011,"R_2011"
7,400,403,408,9,2011-07-18,2011-07-21,2011-07-26,2.6049,3.7298,0.8368,23.4443,1.2154,2.3345,0.83,10.9382,26.4656,27.6044,0.8531,238.1907,0.5,0.5049,"R",2011,"R_2011"
8,416,419,422,7,2011-08-03,2011-08-06,2011-08-09,1.8587,2.4603,0.458,13.0108,0.6295,1.2291,0.4659,4.4065,25.3237,25.9316,0.4513,177.2659,0.3548,0.4352,"R",2011,"R_2011"
9,428,430,433,6,2011-08-15,2011-08-17,2011-08-20,1.7044,2.0268,0.3147,10.2265,0.6542,0.9753,0.3143,3.9253,24.4353,24.8451,0.379,146.6117,0.4215,0.2634,"R",2011,"R_2011"
10,497,500,501,5,2013-07-05,2013-07-08,2013-07-09,2.1474,2.6672,0.4077,10.7368,0.7525,1.2675,0.402,3.7626,25.6212,26.2128,0.5079,128.1059,0.3387,0.6499,"R",2013,"R_2013"
11,506,510,513,8,2013-07-14,2013-07-18,2013-07-21,3.2429,4.7765,1.2429,25.9436,1.8519,3.3851,1.2425,14.8152,27.0972,28.6459,1.2554,216.7776,0.7614,1.0045,"R",2013,"R_2013"
