"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,147,149,152,6,2009-06-22,2009-06-24,2009-06-27,3.408,4.5362,0.9104,20.4481,1.2761,2.3928,0.905,7.6569,25.7081,26.784,0.9198,154.2487,0.8947,0.9849,"R",2009,"R_2009"
2,227,233,241,15,2010-05-20,2010-05-26,2010-06-03,4.0778,5.7988,1.1863,61.1668,1.695,3.4569,1.1093,25.4257,21.6315,23.467,1.8244,324.4727,0.5587,0.3792,"R",2010,"R_2010"
3,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.9038,3.6221,0.5922,20.3268,1.4126,2.1503,0.6109,9.8881,26.021,26.6784,0.5505,182.1471,0.4547,0.7998,"R",2010,"R_2010"
4,400,403,406,7,2011-07-18,2011-07-21,2011-07-24,2.9245,3.7298,0.6279,20.4714,1.0548,1.8556,0.6105,7.3837,26.7932,27.6044,0.635,187.5525,0.5,0.5725,"R",2011,"R_2011"
5,507,510,512,6,2013-07-15,2013-07-18,2013-07-20,3.7669,4.7765,0.9191,22.6017,1.8513,2.8597,0.9174,11.1081,27.6261,28.6459,0.9291,165.7569,0.7798,0.985,"R",2013,"R_2013"
6,548,552,555,8,2013-08-25,2013-08-29,2013-09-01,3.0521,4.2129,0.8028,24.4165,1.5747,2.7319,0.797,12.5978,24.6592,25.7684,0.7844,197.2739,0.6518,0.6936,"R",2013,"R_2013"
7,574,576,578,5,2014-05-29,2014-05-31,2014-06-02,3.7851,4.3282,0.6539,18.9254,1.2297,1.7613,0.6242,6.1485,22.1963,22.7979,0.9064,110.9813,0.7324,0.5168,"R",2014,"R_2014"
8,773,775,777,5,2015-08-14,2015-08-16,2015-08-18,2.0885,2.7435,0.5144,10.4425,0.6557,1.3135,0.5148,3.2783,24.9348,25.593,0.5459,124.6738,0.6469,0.6639,"R",2015,"R_2015"
9,800,806,809,10,2018-05-23,2018-05-29,2018-06-01,4.7291,6.6714,1.522,47.2907,2.3136,4.1693,1.4331,23.1361,22.4049,24.7125,1.9909,224.0486,0.7511,1.0927,"R",2018,"R_2018"
10,837,838,849,13,2018-06-29,2018-06-30,2018-07-11,2.5626,3.6358,0.4257,33.3139,0.5742,1.6054,0.4105,7.465,25.8616,26.5259,0.3607,336.2008,1.0433,0.1804,"R",2018,"R_2018"
11,880,883,889,10,2018-08-11,2018-08-14,2018-08-20,2.2674,3.0703,0.4605,22.674,0.8218,1.6135,0.4537,8.2183,25.141,26.0607,0.5941,251.4099,0.4313,0.2673,"R",2018,"R_2018"
12,976,978,980,5,2019-08-03,2019-08-05,2019-08-07,2.0319,2.4793,0.3183,10.1595,0.4247,0.8716,0.3128,2.1234,25.5498,26.0002,0.3472,127.749,0.3878,0.3918,"R",2019,"R_2019"
1,146,149,152,7,2009-06-21,2009-06-24,2009-06-27,3.4659,4.8108,0.957,24.2613,1.3268,2.6674,0.9613,9.2876,25.629,26.9836,1.0482,179.4028,0.7648,1.0093,"L",2009,"L_2009"
2,226,233,241,16,2010-05-19,2010-05-26,2010-06-03,4.3465,6.105,1.2592,69.5433,1.9847,3.7631,1.1589,31.7558,21.7151,24.0045,1.9955,347.4412,0.5523,0.4015,"L",2010,"L_2010"
3,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.8351,3.6939,0.6658,19.846,1.3439,2.2221,0.6856,9.4073,25.8773,26.6752,0.617,181.1413,0.5168,0.8894,"L",2010,"L_2010"
4,400,403,406,7,2011-07-18,2011-07-21,2011-07-24,2.9698,3.9266,0.6804,20.7883,1.1001,2.0524,0.6653,7.7006,26.7635,27.7262,0.6873,187.3444,0.5619,0.6204,"L",2011,"L_2011"
5,507,510,512,6,2013-07-15,2013-07-18,2013-07-20,3.7174,4.6171,0.8115,22.3042,1.8018,2.7003,0.8095,10.8106,27.5016,28.4115,0.8212,165.0094,0.68,0.9252,"L",2013,"L_2013"
6,548,552,555,8,2013-08-25,2013-08-29,2013-09-01,3.0195,4.0443,0.7472,24.1556,1.5421,2.5633,0.7409,12.3371,24.5517,25.5248,0.7262,196.4132,0.6098,0.6418,"L",2013,"L_2013"
7,773,775,777,5,2015-08-14,2015-08-16,2015-08-18,2.1789,2.91,0.57,10.8946,0.746,1.48,0.5691,3.7302,24.9502,25.6845,0.6081,124.7508,0.6669,0.734,"L",2015,"L_2015"
8,800,807,809,10,2018-05-23,2018-05-30,2018-06-01,4.8019,6.7353,1.5496,48.0191,2.3864,4.2284,1.4603,23.8645,22.4027,24.8707,2.0176,224.027,0.6321,1.5518,"L",2018,"L_2018"
9,837,838,849,13,2018-06-29,2018-06-30,2018-07-11,2.6196,3.605,0.4295,34.0547,0.6312,1.5746,0.4181,8.2059,25.8436,26.4201,0.4014,335.9667,1.0487,0.1605,"L",2018,"L_2018"
10,880,883,889,10,2018-08-11,2018-08-14,2018-08-20,2.1719,2.9444,0.4598,21.7191,0.7263,1.4876,0.45,7.2633,24.9705,25.8598,0.6065,249.705,0.3974,0.2674,"L",2018,"L_2018"
11,957,958,961,5,2019-07-15,2019-07-16,2019-07-19,2.4969,2.7335,0.262,12.4844,0.5768,0.8061,0.2557,2.8838,26.2778,26.5054,0.2505,131.3888,0.4007,0.1841,"L",2019,"L_2019"
12,976,978,980,5,2019-08-03,2019-08-05,2019-08-07,1.9252,2.3144,0.286,9.6258,0.3179,0.7067,0.2793,1.5897,25.3681,25.7603,0.3195,126.8403,0.3632,0.3622,"L",2019,"L_2019"
1,50,53,54,5,2013-07-05,2013-07-08,2013-07-09,2.6813,3.2859,0.5132,13.4066,0.706,1.3162,0.523,3.5302,25.6279,26.3043,0.6158,128.1395,0.4121,0.7677,"T",2013,"T_2013"
2,60,63,66,7,2013-07-15,2013-07-18,2013-07-21,3.7921,5.1486,1.1805,26.5449,1.8824,3.2318,1.1688,13.177,27.1263,28.4907,1.1833,189.8838,0.7956,1.0333,"T",2013,"T_2013"
3,100,105,108,9,2013-08-24,2013-08-29,2013-09-01,3.1044,4.6475,1.0441,27.9395,1.6318,3.1666,1.0324,14.686,24.2438,25.6758,0.9417,218.1939,0.5882,0.8027,"T",2013,"T_2013"
4,124,130,131,8,2014-05-26,2014-06-01,2014-06-02,3.6684,4.5753,0.8044,29.3471,1.1728,1.996,0.7248,9.3822,21.2405,22.6993,1.2814,169.9236,0.414,0.7807,"T",2014,"T_2014"
5,306,308,310,5,2015-07-25,2015-07-27,2015-07-29,2.7598,3.5725,0.6878,13.7989,1.0068,1.8183,0.6919,5.0341,26.0391,26.8533,0.6863,130.1954,0.7139,0.8074,"T",2015,"T_2015"
