"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,231,233,240,10,2010-05-24,2010-05-26,2010-06-02,4.7868,5.7988,0.6666,47.868,1.5917,2.6668,0.6857,15.9173,22.6736,23.467,0.7707,226.7362,1.0609,0.315,"R",2010,"R_2010"
2,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.9038,3.6221,0.5922,20.3268,1.1496,1.8901,0.613,8.0474,26.021,26.6784,0.5505,182.1471,0.4547,0.7998,"R",2010,"R_2010"
3,400,403,405,6,2011-07-18,2011-07-21,2011-07-23,3.1006,3.7298,0.4609,18.6039,0.8634,1.5051,0.4712,5.1807,26.972,27.6044,0.4642,161.8319,0.5,0.6019,"R",2011,"R_2011"
4,507,510,512,6,2013-07-15,2013-07-18,2013-07-20,3.7669,4.7765,0.9191,22.6017,1.4487,2.4656,0.9257,8.6923,27.6261,28.6459,0.9291,165.7569,0.7798,0.985,"R",2013,"R_2013"
5,549,552,555,7,2013-08-26,2013-08-29,2013-09-01,3.2708,4.2129,0.5525,22.8957,1.5141,2.4548,0.5598,10.5985,24.8171,25.7684,0.6967,173.7195,0.5787,0.6936,"R",2013,"R_2013"
6,801,806,809,9,2018-05-24,2018-05-29,2018-06-01,4.997,6.6714,1.341,44.9733,1.8102,3.4338,1.2867,16.2915,22.7811,24.7125,1.6932,205.03,0.7091,1.0927,"R",2018,"R_2018"
7,880,883,888,9,2018-08-11,2018-08-14,2018-08-19,2.3343,3.0703,0.4337,21.0091,0.6249,1.3528,0.4322,5.6241,25.2461,26.0607,0.5222,227.2153,0.4313,0.2364,"R",2018,"R_2018"
1,147,149,151,5,2009-06-22,2009-06-24,2009-06-26,3.9116,4.8108,0.7102,19.5582,1.2261,2.1242,0.7297,6.1303,26.0795,26.9836,0.8301,130.3974,0.8786,0.687,"L",2009,"L_2009"
2,231,233,241,11,2010-05-24,2010-05-26,2010-06-03,5.0088,6.105,0.8666,55.0968,1.8081,2.973,0.8821,19.8888,22.922,24.0045,0.8465,252.1421,1.0669,0.4015,"L",2010,"L_2010"
3,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.8351,3.6939,0.6658,19.846,1.0809,1.9619,0.6878,7.5665,25.8773,26.6752,0.617,181.1413,0.5168,0.8894,"L",2010,"L_2010"
4,400,403,405,6,2011-07-18,2011-07-21,2011-07-23,3.1526,3.9266,0.5242,18.9155,0.9154,1.7019,0.538,5.4923,26.9489,27.7262,0.5273,161.6935,0.5619,0.6682,"L",2011,"L_2011"
5,507,510,512,6,2013-07-15,2013-07-18,2013-07-20,3.7174,4.6171,0.8115,22.3042,1.3991,2.3062,0.8173,8.3948,27.5016,28.4115,0.8212,165.0094,0.68,0.9252,"L",2013,"L_2013"
6,549,552,555,7,2013-08-26,2013-08-29,2013-09-01,3.2283,4.0443,0.4943,22.5981,1.4716,2.2862,0.5014,10.3011,24.6996,25.5248,0.6411,172.8971,0.53,0.6418,"L",2013,"L_2013"
7,801,807,809,9,2018-05-24,2018-05-30,2018-06-01,5.0647,6.7353,1.3873,45.5824,1.8778,3.4929,1.3326,16.9005,22.7738,24.8707,1.7408,204.9641,0.595,1.5518,"L",2018,"L_2018"
8,880,883,888,9,2018-08-11,2018-08-14,2018-08-19,2.2413,2.9444,0.4286,20.1713,0.5318,1.2269,0.4236,4.7863,25.0781,25.8598,0.5326,225.7025,0.3974,0.2368,"L",2018,"L_2018"
1,60,63,65,6,2013-07-15,2013-07-18,2013-07-20,4.1036,5.1486,0.926,24.6214,1.7853,2.8377,0.9343,10.712,27.4355,28.4907,0.9365,164.6129,0.7956,1.0198,"T",2013,"T_2013"
2,102,105,108,7,2013-08-26,2013-08-29,2013-09-01,3.5396,4.6475,0.6768,24.7774,1.7829,2.8895,0.6841,12.4806,24.5587,25.6758,0.8135,171.9107,0.667,0.8027,"T",2013,"T_2013"
3,326,328,330,5,2015-08-14,2015-08-16,2015-08-18,2.6183,3.2665,0.6191,13.0914,0.9259,1.5773,0.6204,4.6294,24.9372,25.5887,0.6424,124.6862,0.7058,0.7547,"T",2015,"T_2015"
