"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,146,149,152,7,2009-06-21,2009-06-24,2009-06-27,3.2095,4.5362,0.9831,22.4663,1.4331,2.7618,0.9917,10.0314,25.4475,26.784,1.0864,178.1328,0.7816,0.9849,"R",2009,"R_2009"
2,226,233,241,16,2010-05-19,2010-05-26,2010-06-03,3.9356,5.7988,1.2795,62.9695,1.9824,3.8514,1.1994,31.7182,21.3792,23.467,2.0311,342.0673,0.5894,0.3792,"R",2010,"R_2010"
3,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.9038,3.6221,0.5922,20.3268,1.5689,2.3062,0.6107,10.9823,26.021,26.6784,0.5505,182.1471,0.4547,0.7998,"R",2010,"R_2010"
4,400,403,406,7,2011-07-18,2011-07-21,2011-07-24,2.9245,3.7298,0.6279,20.4714,1.2695,2.068,0.6169,8.8866,26.7932,27.6044,0.635,187.5525,0.5,0.5725,"R",2011,"R_2011"
5,417,419,421,5,2011-08-04,2011-08-06,2011-08-08,2.0683,2.4603,0.35,10.3414,0.6306,1.0209,0.364,3.1528,25.5363,25.9316,0.3104,127.6813,0.4083,0.3063,"R",2011,"R_2011"
6,428,430,433,6,2011-08-15,2011-08-17,2011-08-20,1.7044,2.0268,0.3147,10.2265,0.4373,0.759,0.3154,2.6237,24.4353,24.8451,0.379,146.6117,0.4215,0.2634,"R",2011,"R_2011"
7,497,500,501,5,2013-07-05,2013-07-08,2013-07-09,2.1474,2.6672,0.4077,10.7368,0.4384,0.9585,0.4101,2.1919,25.6212,26.2128,0.5079,128.1059,0.3387,0.6499,"R",2013,"R_2013"
8,506,510,513,8,2013-07-14,2013-07-18,2013-07-21,3.2429,4.7765,1.2429,25.9436,1.5734,3.1029,1.2407,12.5872,27.0972,28.6459,1.2554,216.7776,0.7614,1.0045,"R",2013,"R_2013"
9,548,552,555,8,2013-08-25,2013-08-29,2013-09-01,3.0521,4.2129,0.8028,24.4165,1.7333,2.8904,0.7967,13.8663,24.6592,25.7684,0.7844,197.2739,0.6518,0.6936,"R",2013,"R_2013"
10,571,576,579,9,2014-05-26,2014-05-31,2014-06-03,3.2782,4.3282,0.8204,29.5038,1.2226,2.2289,0.7947,11.0033,21.4779,22.7979,1.1116,193.3007,0.4086,0.7167,"R",2014,"R_2014"
11,773,775,777,5,2015-08-14,2015-08-16,2015-08-18,2.0885,2.7435,0.5144,10.4425,0.8104,1.4679,0.5145,4.0519,24.9348,25.593,0.5459,124.6738,0.6469,0.6639,"R",2015,"R_2015"
12,800,806,809,10,2018-05-23,2018-05-29,2018-06-01,4.7291,6.6714,1.522,47.2907,2.7342,4.6237,1.4625,27.3422,22.4049,24.7125,1.9909,224.0486,0.7511,1.0927,"R",2018,"R_2018"
13,837,838,849,13,2018-06-29,2018-06-30,2018-07-11,2.5626,3.6358,0.4257,33.3139,0.8592,1.9293,0.4249,11.1692,25.8616,26.5259,0.3607,336.2008,1.0433,0.1804,"R",2018,"R_2018"
14,880,883,889,10,2018-08-11,2018-08-14,2018-08-20,2.2674,3.0703,0.4605,22.674,0.9772,1.7694,0.4538,9.7717,25.141,26.0607,0.5941,251.4099,0.4313,0.2673,"R",2018,"R_2018"
15,945,948,949,5,2019-07-03,2019-07-06,2019-07-07,2.2285,2.6956,0.451,11.1423,0.521,0.9829,0.448,2.6052,25.5555,26.1038,0.4838,127.7774,0.4118,0.7462,"R",2019,"R_2019"
16,957,959,962,6,2019-07-15,2019-07-17,2019-07-20,2.1967,2.5896,0.3489,13.1805,0.5262,0.9183,0.3488,3.1573,26.0559,26.4501,0.3372,156.3357,0.26,0.3276,"R",2019,"R_2019"
17,976,978,980,5,2019-08-03,2019-08-05,2019-08-07,2.0319,2.4793,0.3183,10.1595,0.5794,1.0262,0.3133,2.8972,25.5498,26.0002,0.3472,127.749,0.3878,0.3918,"R",2019,"R_2019"
1,145,149,152,8,2009-06-20,2009-06-24,2009-06-27,3.2744,4.8108,1.0385,26.1949,1.4915,3.0364,1.0537,11.9319,25.3741,26.9836,1.2089,202.9926,0.7748,1.0093,"L",2009,"L_2009"
2,226,233,242,17,2010-05-19,2010-05-26,2010-06-04,4.2157,6.105,1.3331,71.667,2.2541,4.1576,1.2801,38.32,21.687,24.0045,1.9356,368.6787,0.5523,0.469,"L",2010,"L_2010"
3,275,276,279,5,2010-07-07,2010-07-08,2010-07-11,2.2728,2.6111,0.3608,11.3638,0.5727,0.9024,0.3538,2.8633,25.7953,26.0817,0.3338,128.9766,0.6359,0.339,"L",2010,"L_2010"
4,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.8351,3.6939,0.6658,19.846,1.5002,2.378,0.6855,10.5014,25.8773,26.6752,0.617,181.1413,0.5168,0.8894,"L",2010,"L_2010"
5,400,403,407,8,2011-07-18,2011-07-21,2011-07-25,2.8032,3.9266,0.7866,22.4257,1.1535,2.2648,0.7702,9.2284,26.5934,27.7262,0.7977,212.7471,0.5619,0.5368,"L",2011,"L_2011"
6,506,510,513,8,2013-07-14,2013-07-18,2013-07-21,3.2369,4.6171,1.1247,25.895,1.5673,2.9435,1.1225,12.5386,27.0161,28.4115,1.1362,216.129,0.6785,0.9282,"L",2013,"L_2013"
7,548,552,555,8,2013-08-25,2013-08-29,2013-09-01,3.0195,4.0443,0.7472,24.1556,1.7007,2.7218,0.7406,13.6056,24.5517,25.5248,0.7262,196.4132,0.6098,0.6418,"L",2013,"L_2013"
8,571,577,579,9,2014-05-26,2014-06-01,2014-06-03,3.1728,4.4758,0.9516,28.5548,1.1171,2.3662,0.9145,10.0542,21.2974,23.0169,1.3184,191.6767,0.4334,1.0304,"L",2014,"L_2014"
9,773,775,777,5,2015-08-14,2015-08-16,2015-08-18,2.1789,2.91,0.57,10.8946,0.9008,1.6344,0.5689,4.5039,24.9502,25.6845,0.6081,124.7508,0.6669,0.734,"L",2015,"L_2015"
10,800,807,809,10,2018-05-23,2018-05-30,2018-06-01,4.8019,6.7353,1.5496,48.0191,2.807,4.6828,1.4899,28.0704,22.4027,24.8707,2.0176,224.027,0.6321,1.5518,"L",2018,"L_2018"
11,837,838,849,13,2018-06-29,2018-06-30,2018-07-11,2.6196,3.605,0.4295,34.0547,0.9162,1.8985,0.4293,11.9101,25.8436,26.4201,0.4014,335.9667,1.0487,0.1605,"L",2018,"L_2018"
12,880,883,889,10,2018-08-11,2018-08-14,2018-08-20,2.1719,2.9444,0.4598,21.7191,0.8817,1.6435,0.4502,8.8167,24.9705,25.8598,0.6065,249.705,0.3974,0.2674,"L",2018,"L_2018"
13,945,948,949,5,2019-07-03,2019-07-06,2019-07-07,2.2392,2.6861,0.4255,11.1959,0.5318,0.9734,0.4223,2.6588,25.4912,26.0193,0.4633,127.456,0.399,0.7053,"L",2019,"L_2019"
14,957,958,962,6,2019-07-15,2019-07-16,2019-07-20,2.3949,2.7335,0.3425,14.3696,0.7244,1.0639,0.3422,4.3464,26.1791,26.5054,0.3295,157.0748,0.4007,0.2616,"L",2019,"L_2019"
15,976,978,980,5,2019-08-03,2019-08-05,2019-08-07,1.9252,2.3144,0.286,9.6258,0.4727,0.8613,0.2797,2.3635,25.3681,25.7603,0.3195,126.8403,0.3632,0.3622,"L",2019,"L_2019"
1,50,53,54,5,2013-07-05,2013-07-08,2013-07-09,2.6813,3.2859,0.5132,13.4066,0.9724,1.5773,0.5157,4.8618,25.6279,26.3043,0.6158,128.1395,0.4121,0.7677,"T",2013,"T_2013"
2,59,63,66,8,2013-07-14,2013-07-18,2013-07-21,3.556,5.1486,1.2808,28.4483,1.8865,3.475,1.2786,15.0919,26.883,28.4907,1.2937,215.0641,0.7944,1.0333,"T",2013,"T_2013"
3,97,105,108,12,2013-08-21,2013-08-29,2013-09-01,2.7284,4.6475,1.1263,32.7413,1.4274,3.3251,1.1044,17.1291,24.0371,25.6758,0.8993,288.4457,0.3969,0.8027,"T",2013,"T_2013"
4,124,130,132,9,2014-05-26,2014-06-01,2014-06-03,3.5267,4.5753,0.8642,31.7406,1.4711,2.4656,0.8291,13.24,21.1991,22.6993,1.205,190.792,0.414,1.0803,"T",2014,"T_2014"
5,306,308,310,5,2015-07-25,2015-07-27,2015-07-29,2.7598,3.5725,0.6878,13.7989,1.1762,1.9898,0.6915,5.8811,26.0391,26.8533,0.6863,130.1954,0.7139,0.8074,"T",2015,"T_2015"
6,326,328,330,5,2015-08-14,2015-08-16,2015-08-18,2.6183,3.2665,0.6191,13.0914,1.3401,1.9909,0.6201,6.7006,24.9372,25.5887,0.6424,124.6862,0.7058,0.7547,"T",2015,"T_2015"
