"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,231,233,240,10,2010-05-24,2010-05-26,2010-06-02,4.7868,5.7988,0.6666,47.868,1.326,2.3678,0.6711,13.2605,22.6736,23.467,0.7707,226.7362,1.0609,0.315,"R",2010,"R_2010"
2,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.9038,3.6221,0.5922,20.3268,1.0428,1.7866,0.6159,7.2996,26.021,26.6784,0.5505,182.1471,0.4547,0.7998,"R",2010,"R_2010"
3,400,403,405,6,2011-07-18,2011-07-21,2011-07-23,3.1006,3.7298,0.4609,18.6039,0.732,1.3791,0.4756,4.3923,26.972,27.6044,0.4642,161.8319,0.5,0.6019,"R",2011,"R_2011"
4,508,510,512,5,2013-07-16,2013-07-18,2013-07-20,4.0367,4.7765,0.7142,20.1836,1.5837,2.3213,0.6921,7.9187,27.9021,28.6459,0.7127,139.5106,0.6748,0.985,"R",2013,"R_2013"
5,549,552,555,7,2013-08-26,2013-08-29,2013-09-01,3.2708,4.2129,0.5525,22.8957,1.41,2.3526,0.5615,9.8698,24.8171,25.7684,0.6967,173.7195,0.5787,0.6936,"R",2013,"R_2013"
6,803,806,809,7,2018-05-26,2018-05-29,2018-06-01,5.4819,6.6714,1.0779,38.373,2.0033,3.1796,1.0696,14.0229,23.4795,24.7125,1.1182,164.3563,0.7879,1.0927,"R",2018,"R_2018"
7,881,883,888,8,2018-08-12,2018-08-14,2018-08-19,2.3999,3.0703,0.4132,19.1992,0.5984,1.2512,0.3962,4.787,25.2778,26.0607,0.5489,202.2221,0.4234,0.2364,"R",2018,"R_2018"
1,231,233,240,10,2010-05-24,2010-05-26,2010-06-02,5.1835,6.105,0.6791,51.8354,1.7228,2.674,0.6754,17.2278,22.9954,24.0045,0.8547,229.9536,1.0669,0.3269,"L",2010,"L_2010"
2,309,312,314,6,2010-08-10,2010-08-13,2010-08-15,3.001,3.6939,0.5484,18.0062,1.1507,1.8584,0.5575,6.9042,26.0121,26.6752,0.5516,156.0727,0.4371,0.8894,"L",2010,"L_2010"
3,400,403,405,6,2011-07-18,2011-07-21,2011-07-23,3.1526,3.9266,0.5242,18.9155,0.784,1.5759,0.5428,4.7039,26.9489,27.7262,0.5273,161.6935,0.5619,0.6682,"L",2011,"L_2011"
4,507,510,512,6,2013-07-15,2013-07-18,2013-07-20,3.7174,4.6171,0.8115,22.3042,1.2517,2.1619,0.8197,7.5104,27.5016,28.4115,0.8212,165.0094,0.68,0.9252,"L",2013,"L_2013"
5,549,552,555,7,2013-08-26,2013-08-29,2013-09-01,3.2283,4.0443,0.4943,22.5981,1.3675,2.184,0.503,9.5724,24.6996,25.5248,0.6411,172.8971,0.53,0.6418,"L",2013,"L_2013"
6,802,807,809,8,2018-05-25,2018-05-30,2018-06-01,5.2854,6.7353,1.3032,42.2836,1.8158,3.2387,1.2814,14.5268,23.1018,24.8707,1.5352,184.8141,0.6119,1.5518,"L",2018,"L_2018"
7,881,883,887,7,2018-08-12,2018-08-14,2018-08-18,2.3774,2.9444,0.384,16.6415,0.5708,1.1253,0.3691,3.9954,25.2178,25.8598,0.4929,176.5247,0.3813,0.2559,"L",2018,"L_2018"
1,60,63,65,6,2013-07-15,2013-07-18,2013-07-20,4.1036,5.1486,0.926,24.6214,1.6379,2.6933,0.9372,9.8274,27.4355,28.4907,0.9365,164.6129,0.7956,1.0198,"T",2013,"T_2013"
2,102,105,108,7,2013-08-26,2013-08-29,2013-09-01,3.5396,4.6475,0.6768,24.7774,1.6788,2.7872,0.6857,11.7518,24.5587,25.6758,0.8135,171.9107,0.667,0.8027,"T",2013,"T_2013"
3,326,328,330,5,2015-08-14,2015-08-16,2015-08-18,2.6183,3.2665,0.6191,13.0914,0.8272,1.4804,0.6214,4.1362,24.9372,25.5887,0.6424,124.6862,0.7058,0.7547,"T",2015,"T_2015"
