"event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline","lake","year","lake_year"
1,147,149,151,5,2009-06-22,2009-06-24,2009-06-26,3.6661,4.5362,0.7324,18.3304,1.3471,2.2136,0.7498,6.7353,25.9089,26.784,0.869,129.5446,0.8947,0.642,"R",2009,"R_2009"
2,231,233,241,11,2010-05-24,2010-05-26,2010-06-03,4.6366,5.7988,0.805,51.0031,1.9338,3.2099,0.8536,21.2719,22.6249,23.467,0.7488,248.8734,1.0609,0.3792,"R",2010,"R_2010"
3,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.9038,3.6221,0.5922,20.3268,1.3254,2.0623,0.6111,9.2778,26.021,26.6784,0.5505,182.1471,0.4547,0.7998,"R",2010,"R_2010"
4,400,403,405,6,2011-07-18,2011-07-21,2011-07-23,3.1006,3.7298,0.4609,18.6039,1.1198,1.7539,0.4648,6.7189,26.972,27.6044,0.4642,161.8319,0.5,0.6019,"R",2011,"R_2011"
5,507,510,512,6,2013-07-15,2013-07-18,2013-07-20,3.7669,4.7765,0.9191,22.6017,1.7363,2.7465,0.9192,10.4179,27.6261,28.6459,0.9291,165.7569,0.7798,0.985,"R",2013,"R_2013"
6,549,552,555,7,2013-08-26,2013-08-29,2013-09-01,3.2708,4.2129,0.5525,22.8957,1.6996,2.6422,0.5596,11.8975,24.8171,25.7684,0.6967,173.7195,0.5787,0.6936,"R",2013,"R_2013"
7,801,806,809,9,2018-05-24,2018-05-29,2018-06-01,4.997,6.6714,1.341,44.9733,2.3178,3.9242,1.2759,20.8598,22.7811,24.7125,1.6932,205.03,0.7091,1.0927,"R",2018,"R_2018"
8,837,838,845,9,2018-06-29,2018-06-30,2018-07-07,2.6573,3.6358,0.444,23.9158,0.5134,1.4496,0.427,4.6205,25.8106,26.5259,0.3763,232.295,1.0433,0.1944,"R",2018,"R_2018"
9,880,883,889,10,2018-08-11,2018-08-14,2018-08-20,2.2674,3.0703,0.4605,22.674,0.7349,1.5254,0.4525,7.3489,25.141,26.0607,0.5941,251.4099,0.4313,0.2673,"R",2018,"R_2018"
10,976,978,980,5,2019-08-03,2019-08-05,2019-08-07,2.0319,2.4793,0.3183,10.1595,0.3357,0.7812,0.3114,1.6785,25.5498,26.0002,0.3472,127.749,0.3878,0.3918,"R",2019,"R_2019"
1,147,149,152,6,2009-06-22,2009-06-24,2009-06-27,3.6544,4.8108,0.8947,21.9265,1.3463,2.4882,0.8851,8.0777,25.8795,26.9836,0.8895,155.2771,0.8786,1.0093,"L",2009,"L_2009"
2,226,233,241,16,2010-05-19,2010-05-26,2010-06-03,4.3465,6.105,1.2592,69.5433,1.7372,3.5161,1.1651,27.7947,21.7151,24.0045,1.9955,347.4412,0.5523,0.4015,"L",2010,"L_2010"
3,308,312,314,7,2010-08-09,2010-08-13,2010-08-15,2.8351,3.6939,0.6658,19.846,1.2567,2.1341,0.6858,8.797,25.8773,26.6752,0.617,181.1413,0.5168,0.8894,"L",2010,"L_2010"
4,400,403,405,6,2011-07-18,2011-07-21,2011-07-23,3.1526,3.9266,0.5242,18.9155,1.1717,1.9507,0.5307,7.0305,26.9489,27.7262,0.5273,161.6935,0.5619,0.6682,"L",2011,"L_2011"
5,507,510,512,6,2013-07-15,2013-07-18,2013-07-20,3.7174,4.6171,0.8115,22.3042,1.6867,2.5871,0.8112,10.1204,27.5016,28.4115,0.8212,165.0094,0.68,0.9252,"L",2013,"L_2013"
6,548,552,555,8,2013-08-25,2013-08-29,2013-09-01,3.0195,4.0443,0.7472,24.1556,1.4533,2.4736,0.74,11.6267,24.5517,25.5248,0.7262,196.4132,0.6098,0.6418,"L",2013,"L_2013"
7,801,807,809,9,2018-05-24,2018-05-30,2018-06-01,5.0647,6.7353,1.3873,45.5824,2.3854,3.9833,1.3211,21.4689,22.7738,24.8707,1.7408,204.9641,0.595,1.5518,"L",2018,"L_2018"
8,837,838,849,13,2018-06-29,2018-06-30,2018-07-11,2.6196,3.605,0.4295,34.0547,0.4953,1.4188,0.4133,6.4388,25.8436,26.4201,0.4014,335.9667,1.0487,0.1605,"L",2018,"L_2018"
9,880,883,889,10,2018-08-11,2018-08-14,2018-08-20,2.1719,2.9444,0.4598,21.7191,0.6394,1.3995,0.4488,6.394,24.9705,25.8598,0.6065,249.705,0.3974,0.2674,"L",2018,"L_2018"
10,957,958,961,5,2019-07-15,2019-07-16,2019-07-19,2.4969,2.7335,0.262,12.4844,0.4595,0.6864,0.2506,2.2975,26.2778,26.5054,0.2505,131.3888,0.4007,0.1841,"L",2019,"L_2019"
11,976,978,980,5,2019-08-03,2019-08-05,2019-08-07,1.9252,2.3144,0.286,9.6258,0.229,0.6163,0.2777,1.1448,25.3681,25.7603,0.3195,126.8403,0.3632,0.3622,"L",2019,"L_2019"
1,60,63,65,6,2013-07-15,2013-07-18,2013-07-20,4.1036,5.1486,0.926,24.6214,2.0729,3.1186,0.9269,12.4376,27.4355,28.4907,0.9365,164.6129,0.7956,1.0198,"T",2013,"T_2013"
2,100,105,108,9,2013-08-24,2013-08-29,2013-09-01,3.1044,4.6475,1.0441,27.9395,1.5431,3.0769,1.0315,13.8876,24.2438,25.6758,0.9417,218.1939,0.5882,0.8027,"T",2013,"T_2013"
3,125,130,131,7,2014-05-27,2014-06-01,2014-06-02,3.8301,4.5753,0.7148,26.8108,1.0739,1.7613,0.6639,7.5175,21.507,22.6993,1.119,150.5493,0.2928,0.7807,"T",2014,"T_2014"
4,306,308,310,5,2015-07-25,2015-07-27,2015-07-29,2.7598,3.5725,0.6878,13.7989,0.9296,1.7426,0.6929,4.6482,26.0391,26.8533,0.6863,130.1954,0.7139,0.8074,"T",2015,"T_2015"
5,326,328,330,5,2015-08-14,2015-08-16,2015-08-18,2.6183,3.2665,0.6191,13.0914,1.0977,1.7477,0.6197,5.4884,24.9372,25.5887,0.6424,124.6862,0.7058,0.7547,"T",2015,"T_2015"
